Unnamed: 0,Questions,Gold Answers,GPT Answer,Base Model Answers,BERT Similarity GPT,BERT Similarity Baseline,GPT Correctness,Baseline Correctness
11,what are the different types of mountain biking," Mountain biking is the sport of riding bicycles off - road, often over rough terrain, using specially designed mountain bikes. Mountain bikes share similarities with other bikes but incorporate features designed to enhance durability and performance in rough terrain. Mountain biking can generally be broken down into multiple categories: cross country, trail riding, all mountain (also referred to as "" Enduro ''), downhill, freeride and dirt jumping. However, the majority of mountain biking falls into the categories of Trail and Cross Country riding styles. ","The different types of mountain biking include cross-country, trail, enduro, downhill, freeride, dirt jumping, and fat biking. Cross-country mountain biking involves racing or leisurely riding on trails with varied terrain. Trail mountain biking is a type of cross-country riding on more technical trails. Enduro mountain biking involves timed stages with varied terrain, including uphill and downhill sections. Downhill mountain biking features steep and technical trails designed for fast descents. Freeride mountain biking includes jumps, drops, and other technical features. Dirt jumping is a type of freeride mountain biking that focuses solely on jumps and tricks. Finally, fat biking involves riding on wide tires designed for riding on snow or sand.",,,,1,
12,who were the parties to the atlantic charter in 1941 what were their eight common principles," The Atlantic Charter was a pivotal policy statement issued during World War II on 14 August 1941, which defined the Allied goals for the postwar world. The leaders of the United Kingdom and the United States drafted the work and all the Allies of World War II later confirmed it. The Charter stated the ideal goals of the war -- no territorial aggrandizement; no territorial changes made against the wishes of the people, self - determination; restoration of self - government to those deprived of it; reduction of trade restrictions; global cooperation to secure better economic and social conditions for all; freedom from fear and want; freedom of the seas; and abandonment of the use of force, as well as disarmament of aggressor nations. Adherents of the Atlantic Charter signed the Declaration by United Nations on 1 January 1942, which became the basis for the modern United Nations. ","The Atlantic Charter was a joint declaration issued by the United States and Great Britain in 1941. The parties to the charter were President Franklin D. Roosevelt of the United States and Prime Minister Winston Churchill of Great Britain. The eight common principles in the Atlantic Charter were: 
1. No territorial aggrandizement 
2. No territorial changes without the consent of the people concerned 
3. Restoration of self-government to those denied it 
4. Free access to raw materials 
5. Free trade between nations 
6. Global economic cooperation and advancement 
7. Freedom of the seas 
8. Disarmament of aggressor nations",,,,1,
13,where is the dead sea located in jordan," The Dead Sea (Hebrew: יָם הַמֶּלַח  Yam ha - Melah lit. Sea of Salt; Arabic: البحر الميت Al - Bahr al - Mayyit) is a salt lake bordered by Jordan to the east and Israel and Palestine to the west. Its surface and shores are 430.5 metres (1,412 ft) below sea level, Earth 's lowest elevation on land. The Dead Sea is 304 m (997 ft) deep, the deepest hypersaline lake in the world. With a salinity of 342 g / kg, or 34.2 %, (in 2011), it is 9.6 times as salty as the ocean and one of the world 's saltiest bodies of water. This salinity makes for a harsh environment in which plants and animals can not flourish, hence its name. The Dead Sea is 50 kilometres (31 mi) long and 15 kilometres (9 mi) wide at its widest point. It lies in the Jordan Rift Valley, and its main tributary is the Jordan River. ",The Dead Sea is located in the Jordan Rift Valley and is bordered by Jordan to the east and Israel and Palestine to the west.,,,,1,
14,how tall is the actor who plays hagrid in harry potter," His roles continued in the 1990s with the TV series Cracker (1993 -- 1996, returning in 2006 for a one - off special), in which he starred as forensic psychologist Dr. Edward "" Fitz '' Fitzgerald. The role won him three BAFTA awards. Roles in bigger films followed; the James Bond films GoldenEye (1995) and The World Is Not Enough (1999), a supporting role in From Hell (2001), as well as half - giant Rubeus Hagrid in the Harry Potter films (2001 -- 2011). J.K. Rowling, author of the Harry Potter series, had Coltrane at the top of her list to play Hagrid and, when asked whom she would like to see in the role, responded "" Robbie Coltrane for Hagrid '' in one quick breath. There is also an unnamed 8ft actor who stands in for the 6ft 1in Coltrane in some scenes. ",The actor who played Hagrid in the Harry Potter movies is named Robbie Coltrane. He is 6 feet 1 inch tall (186 cm).,,,,1,
15,where did the term goody two shoes come from," The History of Little Goody Two - Shoes is a children 's story published by John Newbery in London in 1765. The story popularized the phrase "" goody two - shoes '', often used to describe an excessively virtuous person, a do - gooder. ","The term ""Goody two shoes"" comes from a children's story called ""The History of Little Goody Two-Shoes,"" published anonymously in London in 1765. The story is about a poor orphan girl named Margery Meanwell who was so poor that she had no shoes, until a kind gentleman gave her a pair. She then becomes known as ""Goody Two-Shoes"" for always wearing them and being kind and helpful to others. The term has since come to refer to someone who is overly virtuous or self-righteous.",,,,1,
16,when did we first put a rover on mars," In January 2004, the NASA twin Mars Exploration Rovers named Spirit (MER - A) and Opportunity (MER - B) landed on the surface of Mars. Both have met or exceeded all their targets. Among the most significant scientific returns has been conclusive evidence that liquid water existed at some time in the past at both landing sites. Martian dust devils and windstorms have occasionally cleaned both rovers' solar panels, and thus increased their lifespan. Spirit Rover (MER - A) was active until 2010, when it stopped sending data because it had fallen into a sand dune. ","The first rover to successfully land and operate on Mars was the NASA rover, Sojourner, as part of the Mars Pathfinder mission in 1997.",,,,3,
17,how many seasons are there for lost girl," Following good ratings and positive reviews, it was renewed for a second season on November 12, 2010 (two months after its premiere), and the episodes order afterwards increased to 22 episodes; a third season on December 9, 2011; a fourth season on February 28, 2013; and a fifth on February 27, 2014. On August 25, 2014, Showcase announced that the fifth season would be the last, with the original 13 - episode order increased to 16 final episodes and the season divided into two parts. ","Lost Girl ran for a total of 5 seasons, with a total of 77 episodes.",,,,1,
18,difference between straight and order bill of lading," When the bill of lading is used as a document of title, it is particularly related to the case of buyer. When the buyer is entitled to received goods from the carrier, bill of lading in this case performs as document of title for the goods. There are two types of bill of lading that can perform as document of title. They are straight bill of lading and order bill of lading. Straight bill of lading is a bill of lading issued to a named consignee that is not negotiable. In this case, the bill of lading should be directed only to one specific consignee indicated on the bill of lading. Order bill of lading is the opposite from a straight bill of lading and there is no specific or named consignee. Therefore, an order bill of lading can be negotiated to a third party. ","A straight bill of lading is a document that names a specific receiver for the shipment and requires that the goods be delivered to that person or company only. This type of bill of lading is typically used for shipments where there is only one recipient, such as for household moves or when the goods are being delivered directly to a retail store. 

An order bill of lading, on the other hand, is a document that allows for the transfer of ownership of the goods during transit. The original owner of the goods can endorse the bill of lading, allowing the recipient to take possession of the goods or transfer ownership to someone else. This type of bill of lading is commonly used in commercial transactions where goods are being shipped to a buyer who has not yet paid for them, as the transfer of ownership is tied to the bill of lading.",,,,1,
19,who represents the insured in the investigation of a claim," Claims adjuster (claim adjuster), or claims handler (claim handler), investigates insurance claims by interviewing the claimant and witnesses, consulting police and hospital records, and inspecting property damage to determine the extent of the company 's liability. In the United Kingdom, Ireland, Australia, South Africa, the Caribbean and New Zealand the term loss adjuster is used. Other claims adjusters who represent policyholders may aid in the preparation of an insurance claim. ",The insured is typically represented by his or her insurance company in the investigation of a claim. The insurance company has a duty to investigate the claim and make a determination as to whether coverage is available under the policy. The insured may also choose to hire an attorney or other representative to assist with the claims process.,,,,2,
20,what is australia's location in the world and region," Australia 's landmass of 7,617,930 square kilometres (2,941,300 sq mi) is on the Indo - Australian Plate. Surrounded by the Indian and Pacific oceans, it is separated from Asia by the Arafura and Timor seas, with the Coral Sea lying off the Queensland coast, and the Tasman Sea lying between Australia and New Zealand. The world 's smallest continent and sixth largest country by total area, Australia -- owing to its size and isolation -- is often dubbed the "" island continent '', and is sometimes considered the world 's largest island. Australia has 34,218 kilometres (21,262 mi) of coastline (excluding all offshore islands), and claims an extensive Exclusive Economic Zone of 8,148,250 square kilometres (3,146,060 sq mi). This exclusive economic zone does not include the Australian Antarctic Territory. Apart from Macquarie Island, Australia lies between latitudes 9 ° and 44 ° S, and longitudes 112 ° and 154 ° E. ","Australia is located in the southern hemisphere, in the region known as Oceania or Australasia. It is the world's sixth-largest country by total area and shares maritime borders with Indonesia, East Timor, Papua New Guinea, Solomon Islands, Vanuatu, and New Zealand. Australia is also located near the South Pacific and Indian Oceans.",,,,1,
21,who played lionel in as time goes by," Geoffrey Dyson Palmer, OBE (born 4 June 1927) is an English actor known for his roles in British television sitcoms playing Jimmy Anderson in The Fall and Rise of Reginald Perrin (1976 -- 79), Ben Parkinson in Butterflies (1978 -- 83) and Lionel Hardcastle in As Time Goes By (1992 -- 2005). His film appearances include A Fish Called Wanda (1988), The Madness of King George (1994), Mrs. Brown (1997), and Tomorrow Never Dies (1997). ","Geoffrey Palmer played Lionel Hardcastle in the British sitcom ""As Time Goes By"".",,,,1,
22,what was the purpose of the bantu education act," The Bantu Education Act, 1953 (Act No. 47 of 1953; later renamed the Black Education Act, 1953) was a South African segregation law which legalised several aspects of the apartheid system. Its major provision was enforcing racially separated educational facilities. Even universities were made "" tribal '', and all but three missionary schools chose to close down when the government no longer would help support their schools. Very few authorities continued using their own finances to support education for native Africans. In 1959, this type of education was extended to "" non white '' universities and colleges with the Extension of University Education Act, and the internationally prestigious University College of Fort Hare was taken over by the government and degraded to being part of the Bantu education system. It is often argued that the policy of Bantu (African) education was aimed to direct black or non-white youth to the unskilled labour market, although Hendrik Verwoerd, at the time Minister of Native Affairs, claimed that the aim was to solve South Africa 's "" ethnic problems '' by creating complementary economic and political units for different ethnic groups. ",The Bantu Education Act was a South African law that aimed to provide separate education for Black South African students designed specifically to fit them for their role in society. Its purpose was to enforce white supremacy and ensure that Black South Africans received a limited education that excluded them from the political and economic system of the country. The act was passed in 1953 and remained in effect until the end of apartheid in 1994.,,,,1,
23,who played king theoden in lord of the rings," Bernard Hill (born 17 December 1944) is an English film, stage and television actor. He is known for playing Yosser Hughes, the troubled' hard man' whose life is falling apart in Alan Bleasdale 's groundbreaking 1980s TV drama Boys from the Blackstuff and, more recently, as the Duke of Norfolk in the BBC adaptation of Dame Hilary Mantel 's Wolf Hall. He is also known for roles in blockbuster films, including Captain Edward Smith in Titanic, King Théoden in The Lord of the Rings film trilogy and Luther Plunkitt, the Warden of San Quentin Prison in the Clint Eastwood film True Crime. ",Bernard Hill played King Theoden in the Lord of the Rings trilogy.,,,,1,
24,where does the mary river start and finish," The river rises at Booroobin in the Sunshine Coast hinterland, west of Landsborough. From its source, the Mary River flows north through the towns of Kenilworth, Gympie, Tiaro and Maryborough before emptying into the Great Sandy Strait, a passage of water between the mainland and Fraser Island, near the town of River Heads, 17 km (11 mi) south of Hervey Bay. The Mary River flows into the Great Sandy Strait, near wetlands of international significance recognised by the International agreement of the Ramsar Convention and the UNESCO Fraser Island World Heritage Area, which attracts thousands of visitors every year. ","The Mary River starts in the Conondale Range and flows for approximately 291 kilometers before emptying into the Great Sandy Strait near Maryborough in Queensland, Australia.",,,,1,
25,how many pairs of legs does a centipede have," Centipedes (from Latin prefix centi -, "" hundred '', and pes, pedis, "" foot '') are arthropods belonging to the class Chilopoda of the subphylum Myriapoda, an arthropod group which also includes Millipedes and other multi-legged creatures. Centipedes are elongated metameric creatures with one pair of legs per body segment. Centipedes are known to be highly venomous, and often inject paralyzing venom. Despite the name, centipedes can have a varying number of legs, ranging from 30 to 354. Centipedes always have an odd number of pairs of legs. Therefore, no centipede has exactly 100 legs. A key trait uniting this group is a pair of venom claws or forcipules formed from a modified first appendage. Centipedes are predominantly carnivorous. ","A centipede can have anywhere from 30 to 354 legs depending on the species. The word ""centipede"" comes from the Latin word ""centum,"" meaning ""100,"" which may have been how many legs were thought to be on the creature at one time. However, most species actually have less than 100 legs.",,,,,
26,what was the divestment social movement in south africa," Knight writes that anti-apartheid movement in the U.S. found that Washington was unwilling to get involved in economically isolating South Africa. The movement responded by organized lobbying of individual businesses and institutional investors to end their involvement with or investments in the apartheid state as a matter of corporate social responsibility. This campaign was coordinated by several faith - based institutional investors eventually leading to the creation of the Interfaith Center on Corporate Responsibility. An array of celebrities, including singer Paul Simon, also participated. ","The divestment social movement in South Africa was an international campaign that called for companies and organizations to withdraw their investments and business interests in South Africa during the era of apartheid. The movement began in the 1960s and gained momentum in the 1980s, eventually leading to economic sanctions and pressure that contributed to the end of apartheid and the release of Nelson Mandela in 1990. The campaign focused on targeting companies that supported the South African government and its policies of racial segregation and discrimination.",,,,,
27,when was the dome of the rock completed," It was initially completed in 691 CE at the order of Umayyad Caliph Abd al - Malik during the Second Fitna, built on the site of the Roman temple of Jupiter Capitolinus, which had in turn been built on the site of the Second Jewish Temple, destroyed during the Roman Siege of Jerusalem in 70 CE. The original dome collapsed in 1015 and was rebuilt in 1022 -- 23. The Dome of the Rock is in its core one of the oldest extant works of Islamic architecture. ",The Dome of the Rock in Jerusalem was completed in 691 CE.,,,,,
28,where does the black friday term come from," The earliest evidence of the phrase Black Friday applied to the day after Thanksgiving in a shopping context suggests that the term originated in Philadelphia, where it was used to describe the heavy and disruptive pedestrian and vehicle traffic that would occur on the day after Thanksgiving. This usage dates to at least 1961. More than twenty years later, as the phrase became more widespread, a popular explanation became that this day represented the point in the year when retailers begin to turn a profit, thus going from being "" in the red '' to being "" in the black ''. ","The term ""Black Friday"" originated in the United States when on the day after Thanksgiving, retailers' accounting reports would go from being in the red (losses) to being in the black (profits) due to increased holiday shopping. The term was first used on September 24, 1869, when two Wall Street financiers, Jay Gould and Jim Fisk, tried to corner the gold market and caused a financial panic but has since taken on the meaning of the biggest shopping day of the year.",,,,,
29,what is the most popular religion in sweden," The Lutheran Church of Sweden -- which was the state religion until 2000 -- has a registered membership of 6.1 million Swedish citizens, equal to 61.2 % of the total population. One reason for the high membership might be the fact that until 1996 all newborns with at least one parent being a member of the Church of Sweden were also registered as members of the church. Yet the membership is declining rapidly, about 1 % each year, falling from 95 % in 1970 and 85 % in 2000. ","Christianity is the most popular religion in Sweden, with around 60% of the population being members of the Church of Sweden, a Lutheran denomination. However, a significant portion of the population also identifies as non-religious or irreligious. Other religions practiced in Sweden include Islam, Judaism, and Buddhism.",,,,,
30,how many countries does cadbury sell its products," Cadbury, formerly Cadbury 's, is a British multinational confectionery company wholly owned by Mondelez International (originally Kraft Foods) since 2010. It is the second - largest confectionery brand in the world after Wrigley 's. Cadbury is internationally headquartered in Uxbridge, West London, and operates in more than 50 countries worldwide. It is famous for its Dairy Milk chocolate, the Creme Egg and Roses selection box, and many other confectionery products. One of the best - known British brands, in 2013 The Daily Telegraph named Cadbury among Britain 's most successful exports. ","Cadbury, a British multinational confectionery company, sells its products in over 50 countries worldwide. Some of the major markets for Cadbury include the United States, United Kingdom, India, Australia, Canada, South Africa, and Brazil.",,,,,
31,how many house of representative do we have in nigeria,The House of Representatives is the lower house of Nigeria's bicameral National Assembly. The Senate is the upper house.,"As an AI language model, I have access to information up to 2021, at which point Nigeria had 360 seats in the House of Representatives.",,,,,
32,how old is the actress who plays phyllis on y&r," Gina Tognoni / toʊnˈjoʊni / (born November 28, 1973) is an American actress, best known for her work with American daytime soap operas. Her most notable performances include Kelly Cramer on One Life to Live and Dinah Marler on Guiding Light. She is currently starring as Phyllis Summers on The Young and the Restless. ","As an AI language model, I am not able to provide the current age of the actress who plays Phyllis on Y&R since it may change over time. However, as of August 2021, the actress's name is Michelle Stafford and she was born on September 14, 1965, which means she is currently 55 years old.",,,,,
33,when did the dust bowl end in oklahoma," The Dust Bowl, also known as the Dirty Thirties, was a period of severe dust storms that greatly damaged the ecology and agriculture of the American and Canadian prairies during the 1930s; severe drought and a failure to apply dryland farming methods to prevent wind erosion (the Aeolian processes) caused the phenomenon. The drought came in three waves, 1934, 1936, and 1939 -- 1940, but some regions of the high plains experienced drought conditions for as many as eight years. With insufficient understanding of the ecology of the plains, farmers had conducted extensive deep plowing of the virgin topsoil of the Great Plains during the previous decade; this had displaced the native, deep - rooted grasses that normally trapped soil and moisture even during periods of drought and high winds. The rapid mechanization of farm equipment, especially small gasoline tractors, and widespread use of the combine harvester contributed to farmers' decisions to convert arid grassland (much of which received no more than 10 inches (250 mm) of precipitation per year) to cultivated cropland. ","The Dust Bowl in Oklahoma began in the 1930s and lasted for several years. However, there is no specific date cited for when it officially ended. The environmental devastation caused by the Dust Bowl led to significant policy changes and conservation efforts that helped improve the land and prevent future dust storms.",,,,,
34,what is billy last name in where the red fern grows," When leaving work in Idaho 's Snake River Valley, Billy Colman sees a pack of dogs attacking a stray coonhound. He takes the stray home to feed it. Once it has rested, Billy sets it free, knowing that it will return home. ","Billy's last name in the book ""Where the Red Fern Grows"" is Coleman.",,,,,
35,where is dia de los muertos celebrated in mexico," The Day of the Dead (Spanish: Día de Muertos) is a Mexican holiday celebrated throughout Mexico, in particular the Central and South regions, and by people of Mexican ancestry living in other places, especially the United States. It is acknowledged internationally in many other cultures. The multi-day holiday focuses on gatherings of family and friends to pray for and remember friends and family members who have died, and help support their spiritual journey. In 2008, the tradition was inscribed in the Representative List of the Intangible Cultural Heritage of Humanity by UNESCO. ","Dia de los Muertos, or Day of the Dead, is celebrated throughout Mexico, with some of the largest celebrations occurring in Mexico City, Oaxaca, and Pátzcuaro. The holiday is also celebrated in other parts of Latin America and in cities with large Mexican populations.",,,,,
36,where is wind power used most in the united states," In 2016, Nebraska became the eighteenth state to have installed over 1,000 MW of wind power capacity. Texas, with over 20,000 MW of capacity, had the most installed wind power capacity of any U.S. state at the end of 2016. Texas also had more under construction than any other state currently has installed. The state generating the highest percentage of energy from wind power is Iowa. North Dakota has the most per capita wind generation. The Alta Wind Energy Center in California is the largest wind farm in the United States with a capacity of 1548 MW. GE Energy is the largest domestic wind turbine manufacturer. ","Currently, wind power is used most in the United States in Texas, followed by Iowa, Oklahoma, and Kansas. These states have favorable wind resources and have developed a significant amount of wind power capacity. Other states such as California, Illinois, and Minnesota also have a significant amount of wind power capacity.",,,,,
37,who wrote when a man loves a woman," "" When a Man Loves a Woman '' is a song written by Calvin Lewis and Andrew Wright and first recorded by Percy Sledge in 1966 at Norala Sound Studio in Sheffield, Alabama. It made number one on both the Billboard Hot 100 and R&B singles charts. Singer and actress Bette Midler recorded the song 14 years later and had a Top 40 hit with her version in 1980. In 1991, Michael Bolton recorded the song and his version peaked at number one on both the Billboard Hot 100 chart and the Billboard Adult Contemporary Singles chart. ","""When a Man Loves a Woman"" is a song written by Calvin Lewis and Andrew Wright and first recorded by Percy Sledge in 1966.",,,,,
38,when was the cello invented and by whom," The violin family, including cello - sized instruments, emerged c. 1500 as family of instruments distinct from the viola da gamba family. The earliest depictions of the violin family, from northern Italy c. 1530, show three sizes of instruments, roughly corresponding to what we now call violins, violas, and cellos. Contrary to a popular misconception, the cello did not evolve from the viola da gamba, but existed alongside it for about two and a half centuries. The violin family is also known as the viola da braccio (meaning viola of the arm) family, a reference to the primary way the members of the family are held. This is to distinguish it from the viola da gamba (meaning viola of the leg) family, in which all the members are all held with the legs. The likely predecessors of the violin family include the lira da braccio and the rebec. The earliest surviving cellos are made by Andrea Amati, the first known member of the celebrated Amati family of luthiers. ","The cello, which is also known as the violoncello, was developed during the early 16th century in Northern Italy. It is believed to have been invented by Andrea Amati of Cremona, a renowned luthier who was known for his craftsmanship in creating violins.",,,,,
39,what happened at the chernobyl nuclear power plant," The event occurred during a late - night safety test which simulated a station blackout power - failure and in which safety systems were deliberately turned off. A combination of inherent reactor design flaws and the reactor operators arranging the core in a manner contrary to the checklist for the test, eventually resulted in uncontrolled reaction conditions. Water flashed into steam generating a destructive steam explosion and a subsequent open - air graphite fire. This fire produced considerable updrafts for about nine days. These lofted plumes of fission products into the atmosphere. The estimated radioactive inventory that was released during this very hot fire phase approximately equalled in magnitude the airborne fission products released in the initial destructive explosion. Practically all of this radioactive material would then go on to fall - out / precipitate onto much of the surface of the western USSR and Europe. ","On April 26, 1986, an explosion occurred at the Chernobyl Nuclear Power Plant in Ukraine, causing a catastrophic nuclear meltdown. The explosion and subsequent fires released large amounts of radioactive particles into the air, contaminating the surrounding area and causing significant health and environmental impacts. The disaster was caused by a combination of human error, design flaws, and a lack of safety protocols. The Chernobyl disaster remains one of the worst nuclear accidents in history.",,,,,
40,where does the term dog and pony show come from," The term was originally used in the United States in the late - 19th and early - 20th centuries to refer to small traveling circuses that toured through small towns and rural areas. The name derives from the common use of performing dogs and ponies as the main attractions of the events. Performances were generally held in open - air arenas, such as race tracks or public spaces in localities that were too small or remote to attract larger, more elaborate performers or performances. The most notorious was "" Prof. Gentry 's Famous Dog & Pony Show, '' started when teenager Henry Gentry and his brothers started touring in 1886 with their act, originally entitled "" Gentry 's Equine and Canine Paradox. '' It started small, but evolved into a full circus show. Other early dog and pony shows included Morris' Equine and Canine Paradoxes (1883) and Hurlburt 's Dog and Pony Show (late 1880s). ","The term ""dog and pony show"" comes from the practice of traveling salesmen in the 19th century who would use trained dogs and ponies to attract potential customers to their sales pitches. The term has since evolved to refer to any elaborate or flashy presentation meant to impress or convince an audience.",,,,,
41,who does brant daugherty play in pretty little liars," Brant David Daugherty (born August 20, 1985) is an American actor, known for his recurring role as Noel Kahn on the teen drama television series, Pretty Little Liars. In 2013, he had a recurring role as Brian in the long - running NBC daytime drama Days of Our Lives. ","Brant Daugherty played the character of Noel Kahn in the television series Pretty Little Liars. Noel was a wealthy and popular student at Rosewood High School, and was involved in a number of mysteries and scandals throughout the show's run.",,,,,
