Unnamed: 0,Questions,Gold Answers,GPT Answer,BERT Similarity GPT,Base Model Answers,BERT Similarity Baseline,GPT Correctness,Baseline Correctness,Annotator Label,Category,
47,uscg master chief petty officer of the coast guard,['Steven W. Cantrell'],The current USCG Master Chief Petty Officer of the Coast Guard is Jason M. Vanderhaden.,,,,,,2,answer is time-dependent ,
48,who has scored the most goals in one football match,['Archie Thompson'],"Archie Thompson, who scored 13 goals in a match for the Australian team against American Samoa in 2001.",,,,,,3,Different granularity,
49,how many episodes of animal kingdom are in season 3,['13'],There are 13 episodes in season 3 of Animal Kingdom.,,,,,,3,Semantically the same,
50,which is the most common use of opt-in e-mail marketing,"[""a newsletter sent to an advertising firm 's customers""]",The most common use of opt-in e-mail marketing is to promote products or services to a targeted audience who have given their consent to receive such communications.,,,,,,3,Open-ended question,
51,in 1827 the cherokee tribe of georgia wrote a constitution modeled on what document,['the United States'],The United States Constitution,,,,,,3,Semantically the same,
52,when does relaxin start being produced during pregnancy,['During the first trimester of pregnancy'],Relaxin production starts during the first trimester of pregnancy.,,,,,,3,Semantically the same,
53,branch of botany which deals with trees and shrubs,['Dendrology'],Dendrology,,,,,,3,Exact match,
54,when was the wizard of oz first released,"['August 25 , 1939']",The Wizard of Oz was first released in 1939.,,,,,,3,Different granularity,
55,where does the 7th cranial nerve exit the skull,['between the pons and the medulla'],"The 7th cranial nerve, also known as the facial nerve, exits the skull through the stylomastoid foramen.",,,,,,3,Different granularity,
56,who was believed to be the son of re the sun god,['The rulers of the Fifth Dynasty'],Pharaoh Amenhotep III of Egypt.,,,,,,1,incorrect prediction,
57,when was last time usa won miss universe,['2012'],"2020 with Miss USA, Asya Branch.",,,,,,2,answer is time-dependent,
58,who played the lawyer in thirteen reasons why,['Wilson Cruz'],Mark Pellegrino played the lawyer Dennis Vasquez in thirteen reasons why.,,,,,,1,incorrect prediction,
59,what was the major purpose of the five year plan during the 1920s and 1930s in the soviet union,['to quickly and effectively industrialize the economy of the Soviet Union'],To rapidly industrialize and modernize the economy through centralized planning and industrialization.,,,,,,3,Semantically the same,
60,who has won a million on deal or no deal,"['Jessica Robinson', 'Tomorrow Rodriguez']","Several contestants have won a million on Deal or No Deal, including Jessica Robinson, David Williams, and Samira Sadeghi.",,,,,,1,incorrect prediction,
61,who played scott in buffy the vampire slayer,"[""Fabrizio `` Fab '' Filippo""]",Scott Hope was played by actor Fab Filippo.,,,,,,3,Semantically the same,
62,who has the power to reject the president's nominations for the supreme court,['the Senate'],The United States Senate has the power to reject the president's nominations for the supreme court.,,,,,,3,Semantically the same,
63,who played aaron on sabrina the teenage witch,['Dylan Neal'],David Lascher,,,,,,1,Incorrect prediction,
64,what order do the flowers in the attic books go,"['Petals on the Wind', 'If There Be Thorns', 'If There Be Thorns', 'Garden of Shadows', ""Christopher 's Diary : Secrets of Foxworth"", ""Christopher 's Diary : Echoes of Dollanganger"", ""Christopher 's Diary : Secret Brother""]","Flowers in the Attic, Petals on the Wind, If There Be Thorns, Seeds of Yesterday, Garden of Shadows.",,,,,,2,Ambiguous answer type,
65,who was the supreme commander of the western allied forces in europe,['Dwight D. Eisenhower'],General Dwight D. Eisenhower,,,,,,3,Semantically the same,
66,who is the captain of nigeria football team,['John Mikel Obi'],"As an AI language model, I do not have access to real-time information. However, the current captain of Nigeria football team as of 2021 is Ahmed Musa.",,,,,,2,Answer is time-dependent,
67,who ruled egypt at the time of the french invasion,['Ottoman Empire'],Muhammad Ali Pasha,,,,,,1,Incorrect prediction,
68,where is the pro football hall of fame located,"['2121 George Halas Dr NW , Canton , Ohio']","in Canton, Ohio",,,,,,3,Different granularity,
69,weapons used in the civil war by the union,"['rifled - muskets', 'breech loaders', 'repeating weapons', 'various field guns', 'artillery', 'early grenade', 'machine gun']","rifles, muskets, carbines, revolvers, bayonets, cannons, and Gatling guns",,,,,,3,Open-ended question,
70,how many electrons fit in the 3rd energy level,['18'],There can be up to 18 electrons in the 3rd energy level.,,,,,,3,Semantically the same,
71,who appoints the chairman of the federal reserve,['President of the United States'],"The President of the United States, with confirmation from the Senate.",,,,,,3,Different granularity,
72,what is the meaning of the name lamar,"['liquid gold', 'the sea']","The name Lamar means ""of the sea"" or ""from the sea"" in French.",,,,,,3,Semantically the same,
73,where is the bethlehem star in bethlehem pa,"['on the top of South Mountain , on property owned by the Water Department , located in Lower Saucon Township']","There is no physical ""Bethlehem Star"" in Bethlehem, PA. However, there is a large star atop South Mountain, known as the South Mountain Star, which is visible from certain parts of the city.",,,,,,3,Semantically the same,
74,the hottest recorded temperature on earth occurred where,"['Mitribah , Kuwait']","In Furnace Creek Ranch, California on July 10, 1913, when the temperature reached 134 degrees Fahrenheit (56.7 degrees Celsius).",,,,,,3,Incorrect gold,
75,who plays john in meet me in st louis,['Tom Drake'],John is not a character in Meet Me in St Louis.,,,,,,1,Incorrect prediction,
76,who sang you're a mean one mr. grinch in the iconic 1966 animated tv show,['Thurl Ravenscroft'],Thurl Ravenscroft,,,,,,3,Exact match,
77,best british male solo artist at this year's brit awards,['Stormzy'],Lewis Capaldi.,,,,,,2,Answer is time-dependent,
78,who plays shawn as a kid in psych,"['Liam James', 'Skyler Gisondo']",Liam James,,,,,,3,Exact match,
79,who is left in season 10 of rupaul's drag race,"['Aquaria', ""Asia O'Hara"", 'Eureka', 'Kameron Michaels']","I'm sorry, I do not have access to real-time information.",,,,,,1,DATV,
80,who has the fastest serve in tennis history,['Sabine Lisicki'],"The record for the fastest serve in tennis history is held by Sam Groth from Australia, who hit a serve clocked at 163.7 mph (263.4 km/hr) in 2012.",,,,,,3,Gold is incorrect ,
81,when was india capital shifted from calcutta to delhi,['12 December 1911'],In 1911.,,,,,,3,Different granularity,
82,who is nominated for nobel peace prize 2016,['Juan Manuel Santos'],"There were 376 nominees for the Nobel Peace Prize in 2016, and the winner was Juan Manuel Santos, the President of Colombia.",,,,,,3,Different granularity,
83,when did the wise man's fear come out,"['March 1 , 2011']",in 2011,,,,,,3,Different granularity,
84,who sings theme song on sons of anarchy,['Curtis Stigers & The Forest Rangers'],"The theme song for Sons of Anarchy is ""This Life"" and it is performed by Curtis Stigers and the Forest Rangers.",,,,,,3,Semantically the same,
85,when did raiders of the lost ark take place,['1936'],Raiders of the Lost Ark takes place in 1936.,,,,,,3,Semantically the same,
86,who wrote see you again by miley cyrus,"['Miley Cyrus', 'Antonina Armato', 'Antonina']","The song ""See You Again"" by Miley Cyrus was co-written by the singer herself, along with Antonina Armato and Tim James of the production duo Rock Mafia.",,,,,,3,Different granularity,
87,when was the song stacy's mom released,"['May 20 , 2003']",in 2003,,,,,,3,Different granularity,
88,who did the united states support when vietnam first split into north and south vietnam,['South Vietnamese army'],The United States supported the government of South Vietnam.,,,,,,3,Semantically the same,
89,who won nobel prizes in both physics and chemistry,['Maria Skłodowska - Curie'],Marie Curie,,,,,,3,Semantically the same,
90,pavel the boy in the striped pajamas actor,['David Hayman'],Asa Butterfield,,,,,,1,Incorrect prediction,
91,who makes the rules about irradiation of food,"['FDA', 'United States Department of Agriculture ( USDA )']","In the United States, the Food and Drug Administration (FDA) makes rules about irradiation of food.",,,,,,3,Semantically the same,
92,which mountain range is found along the east coast of mexico,['Sierra Madre Oriental'],"There are no significant mountain ranges along the east coast of Mexico. The Sierra Madre Oriental range runs parallel to the east coast, but is located further inland.",,,,,,3,Different granularity,
93,when does meredith become chief of general surgery,['2015'],In season 12 of Grey's Anatomy.,,,,,,2,Ambigious answer type,
94,who is zack from saved by the bell,['Mark - Paul Harry Gosselaar'],"Zack Morris is one of the main characters in the television show Saved by the Bell, played by actor Mark-Paul Gosselaar.",,,,,,3,Semantically the same,
95,who advocated for a separate juvenile court in chicago,"['Jane Addams', 'Louise DeKoven Bowen', 'Lucy Flower', 'Julia Lathrop']",Jane Addams and Julia Lathrop advocated for a separate juvenile court in Chicago.,,,,,,3,Different granularity,
96,who created the excise tax as part of his financial plan,"['Alexander Hamilton , first Secretary of the Treasury']",Alexander Hamilton,,,,,,3,Semantically the same,
97,what is the purpose of crystal violet used in the gram stain procedure,['to make bacteria more visible in stained sections of lung tissue'],Crystal violet is used to stain bacterial cell walls in the gram stain procedure.,,,,,,3,Open-ended question,
98,eucharistic miracle in lanciano italy in 750 a.d,['Miracle of Lanciano'],"According to Catholic tradition, the Eucharistic miracle in Lanciano, Italy occurred in 750 A.D. during a Mass celebrated by a monk who began to doubt the Real Presence of Jesus in the bread and wine. After consecration, the bread became flesh and the wine became blood, which has been miraculously preserved to this day.",,,,,,3,Different granularity,
99,who played nova in the planet of the apes,['Linda Melson Harrison'],Linda Harrison played Nova in the original Planet of the Apes film.,,,,,,3,Semantically the same,
100,who wrote someone that i used to know,['Gotye'],"Gotye wrote ""Someone That I Used to Know.""",,,,,,3,"Semantically the same
",
101,who played the first alice in the honeymooners,['Pert Kelton'],Audrey Meadows,,,,,,1,Incorrect prediction,
102,when did terry's chocolate orange come out,['1932'],It was first introduced in 1932.,,,,,,3,Semantically the same,
103,where are the straits of florida located on a map,"['south - southeast of the North American mainland , generally accepted to be between the Gulf of Mexico and the Atlantic Ocean , and between the Florida Keys ( U.S. ) and Cuba']",The Straits of Florida are located between the southern tip of Florida and the northern coast of Cuba on a map.,,,,,,3,Semantically the same,
104,who gifted the statue of liberty to usa,['the people of France'],France,,,,,,3,Semantically the same,
105,who played bernadette on the big bang theory,['Melissa Ivy Rauch'],Melissa Rauch.,,,,,,3,Semantically the same,
106,first president of india first president of india,['Rajendra Prasad'],Dr. Rajendra Prasad,,,,,,3,Semantically the same,
107,who put the one child policy in place,['Song Jian'],The Chinese government implemented the one child policy in 1979.,,,,,,2,Ambiguous answer type,
108,who wrote as the deer pants for the water,['Martin J. Nystrom'],Marty Nystrom,,,,,,3,Semantically the same,
109,who invented the movable type printing press brainly,['Johannes Gutenberg'],Johannes Gutenberg.,,,,,,3,Exact Match,
110,who played the once ler in the lorax,['Bob Holt'],Ed Helms,,,,,,2,Answer is time-dependent,
111,when does new episodes of the handmaids tale come out,['2018'],"The release date for new episodes of The Handmaid's Tale varies by season. You can check the latest release information on platforms like Hulu, where the show is currently streaming.",,,,,,1,DATV,
112,what year in the chinese zodiac is it,['Dog'],"As an AI language model, I cannot provide a specific answer to this question as it depends on the current date and year. Please provide more information for me to accurately answer your question.",,,,,,1,DATV,
113,who killed katie in the movie mystic river,['Dave'],Dave Boyle (played by Tim Robbins),,,,,,3,"Semantically the same
",
114,where do most of the worlds rubies come from,"['central Myanmar , the area of Mong Hsu']",Most of the world's rubies come from Burma (now known as Myanmar).,,,,,,3,Semantically the same,
115,who wrote the song we shall behold him,['Dottie Rambo'],Dottie Rambo,,,,,,3,Exact Match,
116,who won australia's first olympic gold medal,['Steven John Bradbury'],"Edwin Flack, a runner, won Australia's first Olympic gold medal in the 800m and 1500m events at the 1896 Athens Olympic Games.",,,,,,3,Gold is incorrect,
117,who plays nola in the harry quebert affair,['Kristine Froseth'],Kristine Froseth,,,,,,3,Exact Match,
118,mamma mia run time here we go again,['114 minutes'],1 hour and 54 minutes,,,,,,3,Semantically the same,
119,where does the belcher's sea snake live,"['Indian Ocean', 'Gulf of Thailand', 'Australia', 'Solomon Islands']",The Belcher's sea snake is native to the coastal waters of Southeast Asia and Australia.,,,,,,3,Semantically the same,
120,when was the last episode of friends recorded,"['May 6 , 2004']","The last episode of Friends was recorded on January 23, 2004.",,,,,,3,Gold is incorrect,
121,who does elena from vampire diaries end up with,['Damon'],"In the TV show, Elena ends up with Damon Salvatore. In the book series, she ends up with Stefan Salvatore.",,,,,,3,Semantically the same,
122,who had founded the indian home rule society,['Shyamji Krishna Varma'],Mahatma Gandhi,,,,,,1,Incorrect,
123,who narrates who do you think you are uk,['Phil Davis'],"As of 2021, the narrators of ""Who Do You Think You Are?"" UK have been Cherie Lunghi and Phil Davis.",,,,,,3,Different granularity,
124,where does dill live in to kill a mockingbird,"['Meridian , Mississippi ,']","Dill Harris lives in Meridian, Mississippi during the summer months.",,,,,,3,Different granularity,
125,who was the pope that started the crusades,['Pope Urban II'],Pope Urban II,,,,,,3,Exact Match,
126,where did the dead poets society take place,['the fictional elite conservative Vermont boarding school Welton Academy'],"At a boys' preparatory school called Welton Academy in Vermont, USA.",,,,,,3,Semantically the same,
127,when do sorry to bother you come out,"['July 6 , 2018']","Sorry to Bother You was released on July 6, 2018.",,,,,,3,Semantically the same,
128,who is the little girl in when a man loves a woman,['Mae Whitman'],The little girl in When a Man Loves a Woman is named Casey Green. She is played by actress Mae Whitman.,,,,,,3,Semantically the same,
129,who played the bride of frankenstein in the original movie,['Elsa Lanchester'],Elsa Lanchester.,,,,,,3,Exact Match,
130,who won the battle of new orleans 1862,['Union'],"There was no Battle of New Orleans in 1862, the famous Battle of New Orleans was fought in 1815.",,,,,,1,Incorrect,
131,who wrote the lyrics to the first time ever i saw your face,['British political singer / songwriter Ewan MacColl'],Ewan MacColl,,,,,,3,Semantically the same,
132,who did jordi vilasuso play on guiding light,['Tony Santos'],He played the character of Tony Santos on Guiding Light.,,,,,,3,Semantically the same,
133,when do penny and leonard first get together,['The Recombination Hypothesis'],"Season 2, Episode 1 of the TV show ""The Big Bang Theory""",,,,,,1,Incorrect gold,
134,according to federalist 78 what part of the government is the weakest,['Judiciary branch'],The Judiciary branch,,,,,,3,Semantically the same,
135,who played bert in the big bang theory,['Posehn'],"There is no character named Bert in The Big Bang Theory. However, Brian Posehn played a recurring character also named Bert.",,,,,,1,MISC,
136,when does the wlking dead come back on,"['October 22 , 2017']","As an AI language model, I cannot provide the current information or update as seasonal program schedule changes over time. Please check with your local cable TV provider or official AMC website for the latest update on when The Walking Dead is scheduled to come back on.",,,,,,1,DATV,
137,what type of music is flight of the bumblebee,['orchestral interlude'],"classical music, specifically an orchestral interlude from the opera ""The Tale of Tsar Saltan"" by Nikolai Rimsky-Korsakov.",,,,,,3,Different granularity,
138,when was the last earthquake in el salvador,['2001 - 02 - 13'],"Sorry, as an AI language model, I don't have access to real-time information. Please provide a specific date range for me to look up.",,,,,,1,DATV,
139,what is the southern most point in canada,['Middle Island'],"Point Pelee, Ontario",,,,,,3,Different granularity,
140,who wrote she used to love me alot,"['Dennis Morgan', 'Charles Quillen', 'Kye Fleming']",Johnny Cash,,,,,,3,Ambiguous entity/event references,
141,the first time a corporation sells its stock to the public is known as an,['initial public offering'],Initial Public Offering (IPO),,,,,,3,Semantically the same,
142,eaps were originally designed to help employees that had what type of problem,['personal problems and / or work - related problems'],Stress or burnout in the workplace.,,,,,,3,Semantically the same,
143,where will you find earth's magnetic north pole,['86 ° 30 ′ N 172 ° 36 ′ W \ufeff / \ufeff 86.5 ° N 172.6 ° W'],"near the geographic North Pole, in the Arctic Ocean.",,,,,,3,Different granularity,
144,who has the most wins in a mlb season,"['Chicago Cubs', 'Seattle Mariners']","The most wins in a MLB season is 116, achieved by the 2001 Seattle Mariners.",,,,,,3,Semantically the same,
145,when did uk finish paying us for ww2,['2006'],"In 2006, the UK made its final payment on the debt it acquired during World War II.",,,,,,3,Semantically the same,
146,where are the basilar membrane and the organ of corti located,['scala media of the cochlea of the inner ear between the vestibular duct and the tympanic duct'],They are located in the inner ear.,,,,,,3,Different granularity,
147,who plays max in where the wild things are,['Max Records'],Max Records plays Max in Where the Wild Things Are.,,,,,,3,Semantically the same,
148,who sings the bare necessities in the jungle book,['Phil Harris as Baloo and Bruce Reitherman as Mowgli'],Phil Harris as Baloo the Bear,,,,,,3,Different granularity,
149,what part of the country is oklahoma considered,['a state in the South'],Midwest region of the United States,,,,,,3,Open-ended question,
150,during the ming dynasty which city was once again made the capital of china,['Beijing'],Nanjing was made the capital of China once again during the Ming Dynasty.,,,,,,1,Mismatch with question intent,
151,when was the united states marine corps started,['10 November 1775'],"On November 10, 1775.",,,,,,3,Semantically the same,
152,where did the center of the enlightenment take place,['Europe'],"The center of the Enlightenment is often associated with 18th century Paris, France.",,,,,,3,Different granularity,
153,where is the main post office in norwich,"['340 Main Street in downtown Norwich , Connecticut']",In the city center on Prince of Wales Road.,,,,,,3,Ambiguous entity/event references,
154,what age do you have to be to smoke in france,['18'],18 years old.,,,,,,3,Semantically the same,
155,champions league winners three times in a row,"['Real Madrid', 'Ajax', 'Bayern Munich']","Real Madrid (2016, 2017, 2018)",,,,,,3,Different granularity,
156,who has played title role in mohan joshi hazir ho,['Bhisham Sahni'],Naseeruddin Shah.,,,,,,1,Incorrect prediction,
157,the large number and diversity of organisms on earth is known as,['Biodiversity'],Biodiversity.,,,,,,3,Exact match,
158,how many championships does the pac 12 have,['500'],"As an AI language model, I cannot provide the current number of championships as it may constantly change over time. However, the Pac-12 Conference has won numerous NCAA National Championships in various sports.",,,,,,1,DATV,
159,when was prayer taken out of the schools,['1963'],"In 1962, following the Supreme Court case of Engel v. Vitale.",,,,,,3,Incorrect gold,
160,when was the last time grand cayman had a hurricane,['September 2004'],It is unclear as there have been multiple hurricanes that have affected Grand Cayman over the years.,,,,,,1,Incorrect prediction,
161,when was the voting age changed to 18,"['July 1 , 1971']",In 1971.,,,,,,3,Different granularity,
162,when do babies start to have stranger anxiety,['peaks from 6 to 12 months'],Around 6-9 months of age.,,,,,,3,Different granularity,
163,what are tiny pores present on the surface of leaf called,['stomates'],Stomata,,,,,,3,Semantically the same,
164,who does the voice of zoom on the flash,['Tony Todd'],Tony Todd,,,,,,3,Exact match,
165,what is a lobbyist and who do they work for,"['people whose business is trying to influence legislation , regulation , or other government decisions , actions , or policies', 'a group or individual']",A lobbyist is a professional who works on behalf of a special interest group or organization to influence the decisions and actions of government officials. They work to persuade lawmakers and other policymakers to support policies or legislation that align with their clients' interests.,,,,,,3,Semantically the same,
166,where did the name fertile crescent come from,"['James Henry Breasted ,']","The name ""fertile crescent"" was coined by American archaeologist James Henry Breasted in the early 20th century to describe the region in the Middle East where some of the earliest civilizations developed.",,,,,,3,Different granularity,
167,which ventricle is located between the two halves of the thalamus,['the third ventricle'],The third ventricle.,,,,,,3,Exact match,
168,player who scored most goals in premier league,['Alan Shearer'],Alan Shearer with 260 goals,,,,,,3,Different granularity,
169,when was the last time the canadian anthem changed,"['January 31 , 2018']",The Canadian anthem was last changed in 1980.,,,,,,1,Incorrect prediction,
170,who replaced great britain as the leading industrial power in europe after 1870,['China'],Germany,,,,,,1,MISC,
171,where is penny lane from the beatles song,['Liverpool'],"Liverpool, England",,,,,,3,Different granularity,
172,who became president in 1929 the year of the great crash,['Herbert Clark Hoover'],Herbert Hoover,,,,,,3,Semantically the same,
173,who plays the hotel owner in american horror story,['Lady Gaga'],Kathy Bates,,,,,,1,Incorrect Prediction,
174,when did queen write who wants to live forever,['for the soundtrack to the film Highlander'],It was written and recorded in 1986.,,,,,,3,Incorrect gold,
175,when does hell's kitchen new season start,"['September 29 , 2017']","As an AI language model, I don't have access to real-time information, therefore I cannot provide you with the exact answer about the start date for Hell's Kitchen new season. However, you can try to search for the latest news on the internet or on the official website of the show.",,,,,,1,DATV,
176,who composed the music for the first three harry potter films,['John Williams'],John Williams,,,,,,3,Exact match,
177,who has hit the fastest century in odi cricket,['AB De Villiers'],"AB de Villiers, in 31 balls.",,,,,,3,Different granularity,
178,who plays taylor on the bold and beautiful,['Hunter Tylo'],Hunter Tylo (as of 2021),,,,,,3,Semantically the same,
179,who did the voice of aslan in narnia,['Liam Neeson'],Liam Neeson,,,,,,3,Exact match,
180,need for speed payback where does it take place,['Fortune Valley'],"The game takes place in the fictional location of Fortune Valley, inspired by the deserts and cities of Nevada and California.",,,,,,3,Different granularity,
181,how many songs did lennon and mccartney write,['approximately 180'],Around 180 songs.,,,,,,3,Semantically the same,
182,where does the sciatic nerve run in the human body,['begins in the lower back and runs through the buttock and down the lower limb'],The sciatic nerve runs from the lower back through the hips and buttocks down the back of each leg.,,,,,,3,Semantically the same,
183,who sang the song the man who shot liberty valance,['Gene Pitney'],Gene Pitney,,,,,,3,Exact match,
184,who had control of the senate in 2008,['Democrats'],The Democratic Party had control of the Senate in 2008.,,,,,,3,Semantically the same,
185,what kind of story is the great gatsby,['a cautionary tale regarding the American Dream .'],"It is a tragic love story with themes of wealth, class, and social status.",,,,,,3,Open-ended question,
186,where is the lake district located in the uk,['county of Cumbria'],The Lake District is located in northwest England.,,,,,,3,Different granularity,
187,the explorer accurately mapped the coasts of europe and north africa,['Piri Reis'],Who is the explorer being referred to?,,,,,,1,Incorrect prediction,
188,what kind of beer in smokey and the bandit,['bootleg Coors beer'],Coors,,,,,,3,Different granularity,
189,who does tri-care provide accident and health coverage to,"['U.S Armed Forces military personnel , military retirees , and their dependents , including some members of the Reserve Component']","Tri-Care provides accident and health coverage to eligible military members, their families, and retirees.",,,,,,3,Different granularity,
190,an island in nunavut that starts with e,"['Egdell', 'Ellef Ringnes', 'Ellesmere']",Ellesmere Island,,,,,,3,Semantically the same,
191,howard stark is the father of what superhero,['Iron Man'],Tony Stark (Iron Man),,,,,,3,Different granularity,
