Unnamed: 0,Questions,Gold Answers,GPT Answer,BERT Similarity GPT,Base Model Answers,BERT Similarity Baseline,GPT Correctness,Baseline Correctness,FLAN-T5 Answer,Annotator Label,Category
13,how many heat tiles on a space shuttle,"['about 24,300 unique tiles']","There were 24,000 heat tiles on a space shuttle.",,,,,,108,1,Incorrect prediction
14,who form the first political party in nigeria,['Herbert Macaulay'],"The first political party in Nigeria was the Nigerian National Democratic Party (NNDP), formed in 1923.",,,,,,The Nigeria Labour Congress,1,Incorrect prediction
15,who is the doctor from once upon a time,['Victor Frankenstein'],Dr. Victor Frankenstein / Dr. Whale (played by David Anders),,,,,,Regina George,1,Incorrect prediction
16,deviance is any behavior belief or condition that,"['that violates social norms , including a formally enacted rule ( e.g. , crime ) , as well as informal violations of social norms ( e.g. , rejecting folkways and mores )']",violates cultural norms or societal expectations,,,,,,is considered abnormal or abnormal,2,Ambiguous answer type
17,what is the minimum hourly wage in france,['€ 9.88 ( $11 ) per hour'],"As of January 1, 2021, the minimum hourly wage in France is €10.25 per hour.",,,,,,€7.83,2,Answer is time-dependent
18,who plays the joker off of suicide squad,['Jared Leto'],Jared Leto,,,,,,Jared Leto,3,Exact match
19,who wrote the art of the deal book,"['Tony Schwartz', 'Donald Trump']",Donald Trump (co-written with Tony Schwartz),,,,,,Richard M. Neustadt,1,Incorrect prediction
20,when did adam smith published the wealth of nations,['1776'],in 1776,,,,,,1848,1,Incorrect prediction
21,who won the most medals in the olympics,['United States'],"Michael Phelps, with a total of 28 medals (23 gold, 3 silver, 2 bronze)",,,,,,United States,3,Exact match
22,what company makes a and w root beer,"['A&W Canada', 'Keurig Dr Pepper']",Dr Pepper Snapple Group,,,,,,Heineken,1,Incorrect prediction
23,at canterbury cathedral the shrine of is today marked by a single,['lighted candle'],candle,,,,,,Crucifix,1,Incorrect prediction
24,when was the first motte and bailey castle built,['979'],in the 11th century AD,,,,,,between the 10th and 11th centuries,3,Different granularity
25,who owns the truck from sanford and son,"['Tim Franko', 'Jeff Canter']","Redd Foxx's character, Fred Sanford.",,,,,,a family,1,Mismatch with question intent
26,who did roger perry play on star trek,['a 20th century airforce pilot'],"Admiral Savar in the episode ""Tomorrow is Yesterday""",,,,,,Captain James T. Kirk,1,Incorrect prediction
27,when is castiel coming back in season 7,"[""`` The Born - Again Identity ''""]","I'm sorry, I cannot answer that question as I am an AI language model and do not have access to real-time information.",,,,,,"""The Last Stand""",1,Incorrect prediction
28,who plays catherine on the haves and the have nots,['Renee Lawless - Orsini'],Tika Sumpter.,,,,,,Jennifer Marie Morrison,1,Incorrect prediction
29,what is the biggest selling game of all time,['Tetris'],Minecraft,,,,,,Super Mario Bros.,1,Incorrect prediction
30,what was the first nintendo console ever made,['Color TV Game'],The Nintendo Entertainment System (NES) was the first console ever made by Nintendo.,,,,,,N64,1,Incorrect prediction
31,the girl who played carol anne in poltergeist,"[""Heather Michele O'Rourke""]",Heather O'Rourke.,,,,,,Judith Light,1,Incorrect prediction
32,what is the current episode of love island,['Day 59'],"As an AI language model, I don't have access to live or current TV schedules. Please provide me with specific dates or episode numbers for Love Island so I can provide you with accurate information.",,,,,,tenth,2,Answer is time-dependent
33,who sings the song i just died in your arms tonight,['the English rock band Cutting Crew'],"The song ""I Just Died In Your Arms Tonight"" is sung by the band Cutting Crew.",,,,,,The Temptations,1,Incorrect prediction
34,who is the current king of country music,['George Harvey Strait'],"There is no specific king of country music, as it is a subjective title and can vary depending on personal opinion. Some popular country artists currently include Luke Bryan, Blake Shelton, and Keith Urban.",,,,,,George Strait,3,Semantically the same
35,when does carlos find out about the affair,['the first season finale'],"I'm sorry, I cannot answer this question as there is insufficient context provided.",,,,,,The End,1,Incorrect prediction
36,how many 7 elevens are in the world,"['66,579']","There is no exact answer to this question as the number of 7-Eleven stores in the world is constantly changing. However, as of 2021, there are approximately 70,000 7-Eleven stores worldwide.",,,,,,"over 30,000",1,Mismatch with question intent
37,when did the movie 47 meters down come out,['16 June 2017'],in 2017,,,,,,"June 22, 2017",1,Incorrect prediction
38,when is the new han solo movie coming out,"['May 25 , 2018']","The new Han Solo movie, Solo: A Star Wars Story, was released on May 25, 2018.",,,,,,"May 25, 2018",3,Exact match
39,which emblem served as the symbol for the national recovery administration,['the Blue Eagle'],The Blue Eagle,,,,,,the eagle,3,Different granularity
40,what day is the new star wars movie,"['December 15 , 2017']","I'm sorry, I cannot answer that question as it depends on which particular Star Wars movie is being referred to and when it was released in theaters.",,,,,,"December 15, 2017",3,Exact match
41,when do zoe and wade become a couple,"[""`` Sparks Fly ''""]","In season 2 of the TV show ""Hart of Dixie"", episode 22.",,,,,,"""The End of the Road""",1,Incorrect prediction
42,who fell in love with his own reflection,['Narcissus'],Narcissus,,,,,,Agamemnon,1,Incorrect prediction
43,who played kelly on the drew carey show,['Cynthia Watros'],Christa Miller,,,,,,Jennifer Marie Morrison,1,Incorrect prediction
44,when did gun free zones become a thing,['1990'],"The concept of gun-free zones dates back several decades, but began to gain more widespread attention in the US in the 1990s with the passage of the Gun-Free School Zones Act in 1990.",,,,,,in the wake of the Sandy Hook school shooting,2,Ambiguous answer type
45,who plays arthur in arthur and the invisibles,['Freddie Highmore'],Freddie Highmore,,,,,,Christopher Lloyd,1,Incorrect prediction
46,what affect does acetylcholine have on the sarcolemma,"['can depolarize the muscle fiber , causing a cascade that eventually results in muscle contraction']",Acetylcholine stimulates the sarcolemma (cell membrane) of a muscle fiber to open up sodium channels and allow for the contraction of the muscle.,,,,,,cholinergic neurotransmission,3,Open-ended question
47,uscg master chief petty officer of the coast guard,['Steven W. Cantrell'],The current USCG Master Chief Petty Officer of the Coast Guard is Jason M. Vanderhaden.,,,,,,Master Chief Petty Officer,1,Incorrect prediction
48,who has scored the most goals in one football match,['Archie Thompson'],"Archie Thompson, who scored 13 goals in a match for the Australian team against American Samoa in 2001.",,,,,,Josef Bican,1,Incorrect prediction
49,how many episodes of animal kingdom are in season 3,['13'],There are 13 episodes in season 3 of Animal Kingdom.,,,,,,13,3,Exact match
50,which is the most common use of opt-in e-mail marketing,"[""a newsletter sent to an advertising firm 's customers""]",The most common use of opt-in e-mail marketing is to promote products or services to a targeted audience who have given their consent to receive such communications.,,,,,,newsletters,3,Different granularity
51,in 1827 the cherokee tribe of georgia wrote a constitution modeled on what document,['the United States'],The United States Constitution,,,,,,the United States Constitution,3,Different granularity
52,when does relaxin start being produced during pregnancy,['During the first trimester of pregnancy'],Relaxin production starts during the first trimester of pregnancy.,,,,,,after the implantation of the fetus,3,Open-ended question
53,branch of botany which deals with trees and shrubs,['Dendrology'],Dendrology,,,,,,Arboriculture,1,Mismatch with question intent
54,when was the wizard of oz first released,"['August 25 , 1939']",The Wizard of Oz was first released in 1939.,,,,,,1939,3,Different granularity
55,where does the 7th cranial nerve exit the skull,['between the pons and the medulla'],"The 7th cranial nerve, also known as the facial nerve, exits the skull through the stylomastoid foramen.",,,,,,the occipital bone,1,Incorrect prediction
56,who was believed to be the son of re the sun god,['The rulers of the Fifth Dynasty'],Pharaoh Amenhotep III of Egypt.,,,,,,Ra,1,Incorrect prediction
57,when was last time usa won miss universe,['2012'],"2020 with Miss USA, Asya Branch.",,,,,,Miss Universe 2017,1,Incorrect prediction
58,who played the lawyer in thirteen reasons why,['Wilson Cruz'],Mark Pellegrino played the lawyer Dennis Vasquez in thirteen reasons why.,,,,,,David Morrissey,1,Incorrect prediction
59,what was the major purpose of the five year plan during the 1920s and 1930s in the soviet union,['to quickly and effectively industrialize the economy of the Soviet Union'],To rapidly industrialize and modernize the economy through centralized planning and industrialization.,,,,,,to provide for the economic development of the country,3,Different granularity
60,who has won a million on deal or no deal,"['Jessica Robinson', 'Tomorrow Rodriguez']","Several contestants have won a million on Deal or No Deal, including Jessica Robinson, David Williams, and Samira Sadeghi.",,,,,,Chris Harris,1,Incorrect prediction
61,who played scott in buffy the vampire slayer,"[""Fabrizio `` Fab '' Filippo""]",Scott Hope was played by actor Fab Filippo.,,,,,,Michael Rosenbaum,1,Incorrect prediction
62,who has the power to reject the president's nominations for the supreme court,['the Senate'],The United States Senate has the power to reject the president's nominations for the supreme court.,,,,,,the Senate,3,Exact match
63,who played aaron on sabrina the teenage witch,['Dylan Neal'],David Lascher,,,,,,Michael Rosenbaum,1,Incorrect prediction
64,what order do the flowers in the attic books go,"['Petals on the Wind', 'If There Be Thorns', 'If There Be Thorns', 'Garden of Shadows', ""Christopher 's Diary : Secrets of Foxworth"", ""Christopher 's Diary : Echoes of Dollanganger"", ""Christopher 's Diary : Secret Brother""]","Flowers in the Attic, Petals on the Wind, If There Be Thorns, Seeds of Yesterday, Garden of Shadows.",,,,,,Flowers in the Attic,1,Incorrect prediction
65,who was the supreme commander of the western allied forces in europe,['Dwight D. Eisenhower'],General Dwight D. Eisenhower,,,,,,General George Marshall,1,Incorrect prediction
66,who is the captain of nigeria football team,['John Mikel Obi'],"As an AI language model, I do not have access to real-time information. However, the current captain of Nigeria football team as of 2021 is Ahmed Musa.",,,,,,Samuel Eto'o,1,Incorrect prediction
67,who ruled egypt at the time of the french invasion,['Ottoman Empire'],Muhammad Ali Pasha,,,,,,Theodosius II,1,Incorrect prediction
68,where is the pro football hall of fame located,"['2121 George Halas Dr NW , Canton , Ohio']","in Canton, Ohio",,,,,,"Canton, Ohio",3,Different granularity
69,weapons used in the civil war by the union,"['rifled - muskets', 'breech loaders', 'repeating weapons', 'various field guns', 'artillery', 'early grenade', 'machine gun']","rifles, muskets, carbines, revolvers, bayonets, cannons, and Gatling guns",,,,,,muskets,3,Different granularity
70,how many electrons fit in the 3rd energy level,['18'],There can be up to 18 electrons in the 3rd energy level.,,,,,,two,1,Incorrect prediction
71,who appoints the chairman of the federal reserve,['President of the United States'],"The President of the United States, with confirmation from the Senate.",,,,,,President of the United States,3,Exact match
72,what is the meaning of the name lamar,"['liquid gold', 'the sea']","The name Lamar means ""of the sea"" or ""from the sea"" in French.",,,,,,"""Light of the World""",1,Incorrect prediction
73,where is the bethlehem star in bethlehem pa,"['on the top of South Mountain , on property owned by the Water Department , located in Lower Saucon Township']","There is no physical ""Bethlehem Star"" in Bethlehem, PA. However, there is a large star atop South Mountain, known as the South Mountain Star, which is visible from certain parts of the city.",,,,,,Bethlehem Star,1,Incorrect prediction
74,the hottest recorded temperature on earth occurred where,"['Mitribah , Kuwait']","In Furnace Creek Ranch, California on July 10, 1913, when the temperature reached 134 degrees Fahrenheit (56.7 degrees Celsius).",,,,,,Thermopylae,1,Incorrect prediction
75,who plays john in meet me in st louis,['Tom Drake'],John is not a character in Meet Me in St Louis.,,,,,,Jason Lee,1,Incorrect prediction
76,who sang you're a mean one mr. grinch in the iconic 1966 animated tv show,['Thurl Ravenscroft'],Thurl Ravenscroft,,,,,,Who,1,Incorrect prediction
77,best british male solo artist at this year's brit awards,['Stormzy'],Lewis Capaldi.,,,,,,Ed Sheeran,2,Answer is time-dependent
78,who plays shawn as a kid in psych,"['Liam James', 'Skyler Gisondo']",Liam James,,,,,,Michael Rosenbaum,1,Incorrect prediction
79,who is left in season 10 of rupaul's drag race,"['Aquaria', ""Asia O'Hara"", 'Eureka', 'Kameron Michaels']","I'm sorry, I do not have access to real-time information.",,,,,,Trixie Mattel,1,Incorrect prediction
80,who has the fastest serve in tennis history,['Sabine Lisicki'],"The record for the fastest serve in tennis history is held by Sam Groth from Australia, who hit a serve clocked at 163.7 mph (263.4 km/hr) in 2012.",,,,,,Roger Federer,2,Answer is time-dependent
81,when was india capital shifted from calcutta to delhi,['12 December 1911'],In 1911.,,,,,,1911,3,Different granularity
82,who is nominated for nobel peace prize 2016,['Juan Manuel Santos'],"There were 376 nominees for the Nobel Peace Prize in 2016, and the winner was Juan Manuel Santos, the President of Colombia.",,,,,,United States of America,1,Incorrect prediction
83,when did the wise man's fear come out,"['March 1 , 2011']",in 2011,,,,,,"June 18, 2017",1,Incorrect prediction
84,who sings theme song on sons of anarchy,['Curtis Stigers & The Forest Rangers'],"The theme song for Sons of Anarchy is ""This Life"" and it is performed by Curtis Stigers and the Forest Rangers.",,,,,,The Roots,1,Incorrect prediction
85,when did raiders of the lost ark take place,['1936'],Raiders of the Lost Ark takes place in 1936.,,,,,,the Middle Bronze Age,3,Open-ended question
86,who wrote see you again by miley cyrus,"['Miley Cyrus', 'Antonina Armato', 'Antonina']","The song ""See You Again"" by Miley Cyrus was co-written by the singer herself, along with Antonina Armato and Tim James of the production duo Rock Mafia.",,,,,,Taylor Swift,1,Incorrect prediction
87,when was the song stacy's mom released,"['May 20 , 2003']",in 2003,,,,,,"June 18, 1967",1,Incorrect prediction
88,who did the united states support when vietnam first split into north and south vietnam,['South Vietnamese army'],The United States supported the government of South Vietnam.,,,,,,South Vietnam,3,Different granularity
89,who won nobel prizes in both physics and chemistry,['Maria Skłodowska - Curie'],Marie Curie,,,,,,Albert Einstein,1,Incorrect prediction
90,pavel the boy in the striped pajamas actor,['David Hayman'],Asa Butterfield,,,,,,David Hewlett,1,Incorrect prediction
91,who makes the rules about irradiation of food,"['FDA', 'United States Department of Agriculture ( USDA )']","In the United States, the Food and Drug Administration (FDA) makes rules about irradiation of food.",,,,,,Food and Drug Administration,3,Semantically the same
92,which mountain range is found along the east coast of mexico,['Sierra Madre Oriental'],"There are no significant mountain ranges along the east coast of Mexico. The Sierra Madre Oriental range runs parallel to the east coast, but is located further inland.",,,,,,Sierra Madre del Sur,1,Incorrect prediction
93,when does meredith become chief of general surgery,['2015'],In season 12 of Grey's Anatomy.,,,,,,Season 6,3,Different granularity
94,who is zack from saved by the bell,['Mark - Paul Harry Gosselaar'],"Zack Morris is one of the main characters in the television show Saved by the Bell, played by actor Mark-Paul Gosselaar.",,,,,,Michael Ian Black,1,Incorrect prediction
95,who advocated for a separate juvenile court in chicago,"['Jane Addams', 'Louise DeKoven Bowen', 'Lucy Flower', 'Julia Lathrop']",Jane Addams and Julia Lathrop advocated for a separate juvenile court in Chicago.,,,,,,John D. Rockefeller Jr.,1,Incorrect prediction
96,who created the excise tax as part of his financial plan,"['Alexander Hamilton , first Secretary of the Treasury']",Alexander Hamilton,,,,,,President Franklin D. Roosevelt,1,Incorrect prediction
97,what is the purpose of crystal violet used in the gram stain procedure,['to make bacteria more visible in stained sections of lung tissue'],Crystal violet is used to stain bacterial cell walls in the gram stain procedure.,,,,,,to stain proteins,3,Different granularity
98,eucharistic miracle in lanciano italy in 750 a.d,['Miracle of Lanciano'],"According to Catholic tradition, the Eucharistic miracle in Lanciano, Italy occurred in 750 A.D. during a Mass celebrated by a monk who began to doubt the Real Presence of Jesus in the bread and wine. After consecration, the bread became flesh and the wine became blood, which has been miraculously preserved to this day.",,,,,,The Miracle of the Holy Eucharist,1,Incorrect prediction
99,who played nova in the planet of the apes,['Linda Melson Harrison'],Linda Harrison played Nova in the original Planet of the Apes film.,,,,,,Yvonne Strahovski,1,Incorrect prediction
100,who wrote someone that i used to know,['Gotye'],"Gotye wrote ""Someone That I Used to Know.""",,,,,,,,
101,who played the first alice in the honeymooners,['Pert Kelton'],Audrey Meadows,,,,,,,,
102,when did terry's chocolate orange come out,['1932'],It was first introduced in 1932.,,,,,,,,
103,where are the straits of florida located on a map,"['south - southeast of the North American mainland , generally accepted to be between the Gulf of Mexico and the Atlantic Ocean , and between the Florida Keys ( U.S. ) and Cuba']",The Straits of Florida are located between the southern tip of Florida and the northern coast of Cuba on a map.,,,,,,,,
104,who gifted the statue of liberty to usa,['the people of France'],France,,,,,,,,
105,who played bernadette on the big bang theory,['Melissa Ivy Rauch'],Melissa Rauch.,,,,,,,,
106,first president of india first president of india,['Rajendra Prasad'],Dr. Rajendra Prasad,,,,,,,,
107,who put the one child policy in place,['Song Jian'],The Chinese government implemented the one child policy in 1979.,,,,,,,,
108,who wrote as the deer pants for the water,['Martin J. Nystrom'],Marty Nystrom,,,,,,,,
109,who invented the movable type printing press brainly,['Johannes Gutenberg'],Johannes Gutenberg.,,,,,,,,
110,who played the once ler in the lorax,['Bob Holt'],Ed Helms,,,,,,,,
111,when does new episodes of the handmaids tale come out,['2018'],"The release date for new episodes of The Handmaid's Tale varies by season. You can check the latest release information on platforms like Hulu, where the show is currently streaming.",,,,,,,,
112,what year in the chinese zodiac is it,['Dog'],"As an AI language model, I cannot provide a specific answer to this question as it depends on the current date and year. Please provide more information for me to accurately answer your question.",,,,,,,,
113,who killed katie in the movie mystic river,['Dave'],Dave Boyle (played by Tim Robbins),,,,,,,,
114,where do most of the worlds rubies come from,"['central Myanmar , the area of Mong Hsu']",Most of the world's rubies come from Burma (now known as Myanmar).,,,,,,,,
115,who wrote the song we shall behold him,['Dottie Rambo'],Dottie Rambo,,,,,,,,
116,who won australia's first olympic gold medal,['Steven John Bradbury'],"Edwin Flack, a runner, won Australia's first Olympic gold medal in the 800m and 1500m events at the 1896 Athens Olympic Games.",,,,,,,,
117,who plays nola in the harry quebert affair,['Kristine Froseth'],Kristine Froseth,,,,,,,,
118,mamma mia run time here we go again,['114 minutes'],1 hour and 54 minutes,,,,,,,,
119,where does the belcher's sea snake live,"['Indian Ocean', 'Gulf of Thailand', 'Australia', 'Solomon Islands']",The Belcher's sea snake is native to the coastal waters of Southeast Asia and Australia.,,,,,,,,
120,when was the last episode of friends recorded,"['May 6 , 2004']","The last episode of Friends was recorded on January 23, 2004.",,,,,,,,
121,who does elena from vampire diaries end up with,['Damon'],"In the TV show, Elena ends up with Damon Salvatore. In the book series, she ends up with Stefan Salvatore.",,,,,,,,
122,who had founded the indian home rule society,['Shyamji Krishna Varma'],Mahatma Gandhi,,,,,,,,
123,who narrates who do you think you are uk,['Phil Davis'],"As of 2021, the narrators of ""Who Do You Think You Are?"" UK have been Cherie Lunghi and Phil Davis.",,,,,,,,
124,where does dill live in to kill a mockingbird,"['Meridian , Mississippi ,']","Dill Harris lives in Meridian, Mississippi during the summer months.",,,,,,,,
125,who was the pope that started the crusades,['Pope Urban II'],Pope Urban II,,,,,,,,
126,where did the dead poets society take place,['the fictional elite conservative Vermont boarding school Welton Academy'],"At a boys' preparatory school called Welton Academy in Vermont, USA.",,,,,,,,
127,when do sorry to bother you come out,"['July 6 , 2018']","Sorry to Bother You was released on July 6, 2018.",,,,,,,,
128,who is the little girl in when a man loves a woman,['Mae Whitman'],The little girl in When a Man Loves a Woman is named Casey Green. She is played by actress Mae Whitman.,,,,,,,,
129,who played the bride of frankenstein in the original movie,['Elsa Lanchester'],Elsa Lanchester.,,,,,,,,
130,who won the battle of new orleans 1862,['Union'],"There was no Battle of New Orleans in 1862, the famous Battle of New Orleans was fought in 1815.",,,,,,,,
131,who wrote the lyrics to the first time ever i saw your face,['British political singer / songwriter Ewan MacColl'],Ewan MacColl,,,,,,,,
132,who did jordi vilasuso play on guiding light,['Tony Santos'],He played the character of Tony Santos on Guiding Light.,,,,,,,,
133,when do penny and leonard first get together,['The Recombination Hypothesis'],"Season 2, Episode 1 of the TV show ""The Big Bang Theory""",,,,,,,,
134,according to federalist 78 what part of the government is the weakest,['Judiciary branch'],The Judiciary branch,,,,,,,,
135,who played bert in the big bang theory,['Posehn'],"There is no character named Bert in The Big Bang Theory. However, Brian Posehn played a recurring character also named Bert.",,,,,,,,
136,when does the wlking dead come back on,"['October 22 , 2017']","As an AI language model, I cannot provide the current information or update as seasonal program schedule changes over time. Please check with your local cable TV provider or official AMC website for the latest update on when The Walking Dead is scheduled to come back on.",,,,,,,,
137,what type of music is flight of the bumblebee,['orchestral interlude'],"classical music, specifically an orchestral interlude from the opera ""The Tale of Tsar Saltan"" by Nikolai Rimsky-Korsakov.",,,,,,,,
138,when was the last earthquake in el salvador,['2001 - 02 - 13'],"Sorry, as an AI language model, I don't have access to real-time information. Please provide a specific date range for me to look up.",,,,,,,,
139,what is the southern most point in canada,['Middle Island'],"Point Pelee, Ontario",,,,,,,,
140,who wrote she used to love me alot,"['Dennis Morgan', 'Charles Quillen', 'Kye Fleming']",Johnny Cash,,,,,,,,
141,the first time a corporation sells its stock to the public is known as an,['initial public offering'],Initial Public Offering (IPO),,,,,,,,
142,eaps were originally designed to help employees that had what type of problem,['personal problems and / or work - related problems'],Stress or burnout in the workplace.,,,,,,,,
143,where will you find earth's magnetic north pole,['86 ° 30 ′ N 172 ° 36 ′ W \ufeff / \ufeff 86.5 ° N 172.6 ° W'],"near the geographic North Pole, in the Arctic Ocean.",,,,,,,,
144,who has the most wins in a mlb season,"['Chicago Cubs', 'Seattle Mariners']","The most wins in a MLB season is 116, achieved by the 2001 Seattle Mariners.",,,,,,,,
145,when did uk finish paying us for ww2,['2006'],"In 2006, the UK made its final payment on the debt it acquired during World War II.",,,,,,,,
146,where are the basilar membrane and the organ of corti located,['scala media of the cochlea of the inner ear between the vestibular duct and the tympanic duct'],They are located in the inner ear.,,,,,,,,
147,who plays max in where the wild things are,['Max Records'],Max Records plays Max in Where the Wild Things Are.,,,,,,,,
148,who sings the bare necessities in the jungle book,['Phil Harris as Baloo and Bruce Reitherman as Mowgli'],Phil Harris as Baloo the Bear,,,,,,,,
149,what part of the country is oklahoma considered,['a state in the South'],Midwest region of the United States,,,,,,,,
150,during the ming dynasty which city was once again made the capital of china,['Beijing'],Nanjing was made the capital of China once again during the Ming Dynasty.,,,,,,,,
151,when was the united states marine corps started,['10 November 1775'],"On November 10, 1775.",,,,,,,,
152,where did the center of the enlightenment take place,['Europe'],"The center of the Enlightenment is often associated with 18th century Paris, France.",,,,,,,,
153,where is the main post office in norwich,"['340 Main Street in downtown Norwich , Connecticut']",In the city center on Prince of Wales Road.,,,,,,,,
154,what age do you have to be to smoke in france,['18'],18 years old.,,,,,,,,
155,champions league winners three times in a row,"['Real Madrid', 'Ajax', 'Bayern Munich']","Real Madrid (2016, 2017, 2018)",,,,,,,,
156,who has played title role in mohan joshi hazir ho,['Bhisham Sahni'],Naseeruddin Shah.,,,,,,,,
157,the large number and diversity of organisms on earth is known as,['Biodiversity'],Biodiversity.,,,,,,,,
158,how many championships does the pac 12 have,['500'],"As an AI language model, I cannot provide the current number of championships as it may constantly change over time. However, the Pac-12 Conference has won numerous NCAA National Championships in various sports.",,,,,,,,
159,when was prayer taken out of the schools,['1963'],"In 1962, following the Supreme Court case of Engel v. Vitale.",,,,,,,,
160,when was the last time grand cayman had a hurricane,['September 2004'],It is unclear as there have been multiple hurricanes that have affected Grand Cayman over the years.,,,,,,,,
161,when was the voting age changed to 18,"['July 1 , 1971']",In 1971.,,,,,,,,
162,when do babies start to have stranger anxiety,['peaks from 6 to 12 months'],Around 6-9 months of age.,,,,,,,,
163,what are tiny pores present on the surface of leaf called,['stomates'],Stomata,,,,,,,,
164,who does the voice of zoom on the flash,['Tony Todd'],Tony Todd,,,,,,,,
165,what is a lobbyist and who do they work for,"['people whose business is trying to influence legislation , regulation , or other government decisions , actions , or policies', 'a group or individual']",A lobbyist is a professional who works on behalf of a special interest group or organization to influence the decisions and actions of government officials. They work to persuade lawmakers and other policymakers to support policies or legislation that align with their clients' interests.,,,,,,,,
166,where did the name fertile crescent come from,"['James Henry Breasted ,']","The name ""fertile crescent"" was coined by American archaeologist James Henry Breasted in the early 20th century to describe the region in the Middle East where some of the earliest civilizations developed.",,,,,,,,
167,which ventricle is located between the two halves of the thalamus,['the third ventricle'],The third ventricle.,,,,,,,,
168,player who scored most goals in premier league,['Alan Shearer'],Alan Shearer with 260 goals,,,,,,,,
169,when was the last time the canadian anthem changed,"['January 31 , 2018']",The Canadian anthem was last changed in 1980.,,,,,,,,
170,who replaced great britain as the leading industrial power in europe after 1870,['China'],Germany,,,,,,,,
171,where is penny lane from the beatles song,['Liverpool'],"Liverpool, England",,,,,,,,
172,who became president in 1929 the year of the great crash,['Herbert Clark Hoover'],Herbert Hoover,,,,,,,,
173,who plays the hotel owner in american horror story,['Lady Gaga'],Kathy Bates,,,,,,,,
174,when did queen write who wants to live forever,['for the soundtrack to the film Highlander'],It was written and recorded in 1986.,,,,,,,,
175,when does hell's kitchen new season start,"['September 29 , 2017']","As an AI language model, I don't have access to real-time information, therefore I cannot provide you with the exact answer about the start date for Hell's Kitchen new season. However, you can try to search for the latest news on the internet or on the official website of the show.",,,,,,,,
176,who composed the music for the first three harry potter films,['John Williams'],John Williams,,,,,,,,
177,who has hit the fastest century in odi cricket,['AB De Villiers'],"AB de Villiers, in 31 balls.",,,,,,,,
178,who plays taylor on the bold and beautiful,['Hunter Tylo'],Hunter Tylo (as of 2021),,,,,,,,
179,who did the voice of aslan in narnia,['Liam Neeson'],Liam Neeson,,,,,,,,
180,need for speed payback where does it take place,['Fortune Valley'],"The game takes place in the fictional location of Fortune Valley, inspired by the deserts and cities of Nevada and California.",,,,,,,,
181,how many songs did lennon and mccartney write,['approximately 180'],Around 180 songs.,,,,,,,,
182,where does the sciatic nerve run in the human body,['begins in the lower back and runs through the buttock and down the lower limb'],The sciatic nerve runs from the lower back through the hips and buttocks down the back of each leg.,,,,,,,,
183,who sang the song the man who shot liberty valance,['Gene Pitney'],Gene Pitney,,,,,,,,
184,who had control of the senate in 2008,['Democrats'],The Democratic Party had control of the Senate in 2008.,,,,,,,,
185,what kind of story is the great gatsby,['a cautionary tale regarding the American Dream .'],"It is a tragic love story with themes of wealth, class, and social status.",,,,,,,,
186,where is the lake district located in the uk,['county of Cumbria'],The Lake District is located in northwest England.,,,,,,,,
187,the explorer accurately mapped the coasts of europe and north africa,['Piri Reis'],Who is the explorer being referred to?,,,,,,,,
188,what kind of beer in smokey and the bandit,['bootleg Coors beer'],Coors,,,,,,,,
