Unnamed: 0.1,Unnamed: 0,Contexts,Questions,Gold Answers,GPT Answer,Annotator Label - GPT Answer,Category - GPT Answer,BERTScore Similarities GPT,LERC Score GPT,SAS Similarities GPT,BEM Similarities GPT,FLAN-T5 Answer,Annotator Label - FlanT5,Category - FlanT5,LERC Score FlanT5,BERTScore Similarities FlanT5,SAS Similarities FlanT5,BEM Similarities FlanT5
10,10.0,"[""series premiered on Disney Channel on July 21 , 2017 , and is filmed at Hollywood Center Studios . Disney Channel renewed the series for a second season on October 10 , 2017 , which began filming in November 2017 . The second season is scheduled to premiere sometime in May 2018 .   Episodes ( edit )     No .   Title   Directed by   Written by   Original air date   Prod . code   U.S. viewers ( millions )       `` Baxter 's""]",when does the new ravens home come on,['May 2018'],"I'm sorry, I cannot answer that question without more context. Could you be more specific?",1.0,DATC,0.7919371724,1.030547619,0.22206889,0.0573297292,"October 1, 2017",2.0,Answer is time-dependent,0.9521275758743286,0.891326367855072,0.04729301109910011,0.08537517488002777
11,11.0,"[' Language   English     Budget   $110 million     Box office   $355 million     Tomorrow Never Dies ( 1997 ) is the eighteenth spy film in the James Bond series , and the second to star Pierce Brosnan as the fictional MI6 agent James Bond . Directed by Roger Spottiswoode , with the screenplay written by Bruce Feirstein , the film follows Bond as he attempts to stop Elliot Carver , a power - mad media mogul , from engineering world events to initiate World War III .']",who plays james bond in tomorrow never dies,['Pierce Brosnan'],Pierce Brosnan,3.0,Exact match,1.0,5.111917019,0.9644368,0.9892893434,Sean Connery,1.0,Incorrect prediction,1.2079039812088013,0.8021910786628723,0.017387865111231804,0.04019884392619133
12,12.0,"['62 ) Jasper , Alabama , United States     Occupation   Actor     Years active   1986 -- present     Spouse ( s )   Margot Rooker     Children       Michael Rooker ( born April 6 , 1955 ) is an American actor , best known for his breakout role as Henry in Henry : Portrait of a Serial Killer ( 1986 ) , as well as his roles as Terry Cruger in Sea of Love ( 1989 ) , Rowdy Burns']",who plays yondu guardians of the galaxy 2,['Michael Rooker'],Michael Rooker,3.0,Exact match,0.9999999404,5.076498985,0.96134233,0.9901601672,Chris Pratt,1.0,Incorrect prediction,0.9550530910491944,0.8210659027099609,0.009535725228488445,0.051084354519844055
13,13.0,"[""900 silica tiles , made from essentially very pure quartz sand . The insulation prevented heat transfer to the underlying orbiter aluminum skin and structure . These tiles were such poor heat conductors that one could hold one by the edges while it was still red hot . There were about 24,300 unique tiles individually fitted on the vehicle , for which the orbiter has been called `` the flying brickyard '' . Researchers at University of Minnesota and Pennsylvania State University are performing the atomistic simulations to obtain accurate description of interactions between atomic and molecular oxygen with silica surfaces to develop better""]",how many heat tiles on a space shuttle,"['about 24,300 unique tiles']","There were 24,000 heat tiles on a space shuttle.",3.0,Different granularity,0.8851253986,3.117863417,0.5884622,0.6251556277,108,1.0,Incorrect prediction,1.3171899318695068,0.8430958986282349,0.023839127272367477,0.06259503215551376
14,14.0,"[""Nigerian National Democratic party - Wikipedia  Nigerian National Democratic party   The Nigerian National Democratic Party ( NNDP ) was Nigeria 's first political party .   Formed in 1923 by Herbert Macaulay to take advantage of the new Clifford Constitution , the NNDP successfully organized various Lagos interest groups into a single group that was able to compete politically . The ( NNDP ) ran many candidates for seats in the 1922 elections for the Lagos Legislative Council , winning three seats.""]",who form the first political party in nigeria,['Herbert Macaulay'],"The first political party in Nigeria was the Nigerian National Democratic Party (NNDP), formed in 1923.",1.0,Mismatch with question intent,0.7616425157,1.379188895,0.039307304,0.5704862475,The Nigeria Labour Congress,1.0,Incorrect prediction,0.9426420331001282,0.7699601650238037,0.009340927936136723,0.1060359925031662
15,15.0,"[""strong heart Regina gave him back to his laboratory , where he hands over the prized possession to his assistant and places it inside the body of the doctor 's dead brother so he can bring him back to life . The doctor is revealed to be none other than Victor Frankenstein ( David Anders ) , and that he relies on science , not magic .   In the Enchanted Forest ( edit )   As Emma Swan ( Jennifer Morrison ) , Snow White / Mary Margaret ( Ginnifer Goodwin ) , Mulan ( Jamie Chung ) and""]",who is the doctor from once upon a time,['Victor Frankenstein'],Dr. Victor Frankenstein / Dr. Whale (played by David Anders),3.0,Semantically the same,0.889533639,3.412287474,0.53926617,0.9885078669,Regina George,1.0,Incorrect prediction,1.1480268239974976,0.8418772220611572,0.010031748563051224,0.036524828523397446
16,16.0,"[' Left Realism   Marxist Criminology   Neo-classical school   Positivist School   Postmodernist School   Right Realism                   In sociology , deviance describes an action or behavior that violates social norms , including a formally enacted rule ( e.g. , crime ) , as well as informal violations of social norms ( e.g. , rejecting folkways and mores ) . Although deviance may have a negative connotation , the violation of social norms is not always a negative action ; positive deviation exists in some situations . Although a norm is violated , a behavior can still be classified as positive or acceptable .   Social norms differ']",deviance is any behavior belief or condition that,"['that violates social norms , including a formally enacted rule ( e.g. , crime ) , as well as informal violations of social norms ( e.g. , rejecting folkways and mores )']",violates cultural norms or societal expectations,3.0,Different granularity,0.8487364054,4.008798122,0.57766676,0.2048702687,is considered abnormal or abnormal,2.0,Ambiguous answer type,3.274112701416016,0.8060806393623352,0.38158154487609863,0.07912273705005646
17,17.0,"['wages agreed to in collective bargaining agreements ; almost all workers are covered under such arrangements .       40         2017       France   € 1,498.47 ( $1734 ) per month , € 9.88 ( $11 ) per hour .   7004202720000000000 ♠ 20,272    7004206690000000000 ♠ 20,669    35   7001111400000000000 ♠ 11.14    7001113600000000000 ♠ 11.36    7001500000000000000 ♠ 50 %   1 January 2018       Gabon   150,000 CFA']",what is the minimum hourly wage in france,['€ 9.88 ( $11 ) per hour'],"As of January 1, 2021, the minimum hourly wage in France is €10.25 per hour.",2.0,Answer is time-dependent,0.8604121208,1.555002332,0.22349305,0.6627448201,€7.83,2.0,Answer is time-dependent,1.536819338798523,0.8802338242530823,0.2904145121574402,0.44455257058143616
18,18.0,"[""Lawton / Deadshot :     An expert marksman and assassin . A mercenary by day and a concerned father by night , Deadshot is a conflicted criminal who enjoys the hunt , but still tries to do right by his young daughter .     Jared Leto as the Joker :     A psychopathic supervillain . Leto described his role as `` nearly Shakespearean '' and a `` beautiful disaster of a character '' ; about portraying the villain , he stated , `` I took a pretty deep dive . But this was""]",who plays the joker off of suicide squad,['Jared Leto'],Jared Leto,3.0,Exact match,1.0,5.098620415,0.9590194,0.9881296158,Jared Leto,3.0,Exact match,5.098620414733887,1.0,0.9590194225311279,0.9881296157836914
19,19.0,"["" 372     ISBN   978 - 0446353250     Followed by   Trump : Surviving at the Top ( 1990 )     Trump : The Art of the Deal is a 1987 book credited to Donald Trump and journalist Tony Schwartz . Part memoir and part business - advice book , it was the first book credited to Trump , and helped to make him a `` household name '' . It reached number 1 on The New York Times Best Seller list , stayed there for 13 weeks , and"", ""  Pages   372     ISBN   978 - 0446353250     Followed by   Trump : Surviving at the Top ( 1990 )     Trump : The Art of the Deal is a 1987 book credited to Donald Trump and journalist Tony Schwartz . Part memoir and part business - advice book , it was the first book credited to Trump , and helped to make him a `` household name '' . It reached number 1 on The New York Times Best Seller list , stayed there for""]",who wrote the art of the deal book,"['Tony Schwartz', 'Donald Trump']",Donald Trump (co-written with Tony Schwartz),3.0,Semantically the same,0.9018007517,4.493327618,0.5729236,0.9886896014,Richard M. Neustadt,1.0,Incorrect prediction,1.1338658332824707,0.8397067189216614,0.011230144649744034,0.038225796073675156
20,20.0,"[""date   1776     An Inquiry into the Nature and Causes of the Wealth of Nations , generally referred to by its shortened title The Wealth of Nations , is the magnum opus of the Scottish economist and moral philosopher Adam Smith . First published in 1776 , the book offers one of the world 's first collected descriptions of what builds nations ' wealth , and is today a fundamental work in classical economics . By reflecting upon the economics at the beginning of the Industrial Revolution , the book touches upon such broad topics as""]",when did adam smith published the wealth of nations,['1776'],in 1776,3.0,Exact match,0.9261547327,4.896856785,0.90038913,0.989946425,1848,1.0,Incorrect prediction,1.0897634029388428,0.939701497554779,0.09615414589643478,0.04422669857740402
21,21.0,"[' United Arab Emirates ( UAE )   9     0       0   0   0   0   0   9     0         United States ( USA )   27   1,022   795   705   2,522   23   105   110   90   305   50   1,127   905   795   2,827  ']",who won the most medals in the olympics,['United States'],"Michael Phelps, with a total of 28 medals (23 gold, 3 silver, 2 bronze)",2.0,Ambiguous answer type,0.7999581099,1.548732638,0.010382277,0.1067809388,United States,3.0,Exact match,5.071147918701172,1.0,0.9614366888999939,0.9903083443641663
22,22.0,"[""A&W Root Beer - wikipedia  A&W Root Beer   A&W Root Beer       Type   Root Beer     Manufacturer   Keurig Dr Pepper ( United States , Worldwide ) A&W Canada ( Canada )     Introduced   1919     Related products   Barq 's , Mug Root Beer , Dad 's Root Beer , Hires Root Beer , A&W Cream Soda     Nutrition facts   Serving size 8.1 fl"", ""A&W Root Beer - wikipedia  A&W Root Beer   A&W Root Beer       Type   Root Beer     Manufacturer   Keurig Dr Pepper ( United States , Worldwide ) A&W Canada ( Canada )     Introduced   1919     Related products   Barq 's , Mug Root Beer , Dad 's Root Beer , Hires Root Beer , A&W Cream Soda    ""]",what company makes a and w root beer,"['A&W Canada', 'Keurig Dr Pepper']",Dr Pepper Snapple Group,3.0,Different granularity,0.8000066876,1.981773019,0.5353063,0.1715808958,Heineken,1.0,Incorrect prediction,1.1221463680267334,0.7782805562019348,0.00952890980988741,0.03959790989756584
23,23.0,"[""This was done on orders from King Henry VIII as vengeance for his ancestor , Henry II . The king also destroyed Becket 's bones and ordered that all mention of his name be obliterated . The pavement where the shrine stood in the chapel is today marked by a lighted candle . Modern day archbishops of Canterbury celebrate the Eucharist at this place to commemorate Becket 's martyrdom and the translation of his body from his first burial place to this chapel .   The Black Prince ( edit )   Over time other significant burials took place in""]",at canterbury cathedral the shrine of is today marked by a single,['lighted candle'],candle,3.0,Semantically the same,0.8140056729,5.046028137,0.8760787,0.6364395618,Crucifix,1.0,Incorrect prediction,1.3878778219223022,0.8094721436500549,0.00956040620803833,0.05846535414457321
24,24.0,"[', France  The earliest purely documentary evidence for motte - and - bailey castles in Normandy and Angers comes from between 1020 and 1040 , but a combination of documentary and archaeological evidence pushes the date for the first motte and bailey castle , at Vincy , back to 979 . The castles were built by the more powerful lords of Anjou in the late 10th and 11th centuries , in particular Fulk III and his son , Geoffrey II , who built a great number of them between 987 and 1060 . Many of these earliest castles would have']",when was the first motte and bailey castle built,['979'],in the 11th century AD,1.0,MISC,0.8062445521,1.307419658,0.015372716,0.04152825475,between the 10th and 11th centuries,3.0,Different granularity,1.3146734237670898,0.7813990712165833,0.01860957033932209,0.03770239278674126
25,25.0,"['the spin offs Sanford Arms and Sanford . It has changed hands a few times over the years , eventually purchased by a real life junk dealer , Donald Dimmitt of Dimmitts Auto Salvage , in Argos , Indiana . Most recently it was purchased from Dimmitts Auto Salvage by Tim Franko and Jeff Canter , owners of BlueLine Classics , a classic car dealership in North Royalton , Ohio . The truck has been preserved by BlueLine Classics to its true condition as seen on the TV series and is displayed in the BlueLine Classics showroom .   Redd Foxx', ""Sanford Arms and Sanford . It has changed hands a few times over the years , eventually purchased by a real life junk dealer , Donald Dimmitt of Dimmitts Auto Salvage , in Argos , Indiana . Most recently it was purchased from Dimmitts Auto Salvage by Tim Franko and Jeff Canter , owners of BlueLine Classics , a classic car dealership in North Royalton , Ohio . The truck has been preserved by BlueLine Classics to its true condition as seen on the TV series and is displayed in the BlueLine Classics showroom .   Redd Foxx 's death (""]",who owns the truck from sanford and son,"['Tim Franko', 'Jeff Canter']","Redd Foxx's character, Fred Sanford.",2.0,Ambiguous answer type,0.8238136768,1.309563875,0.010401077,0.07205475867,a family,1.0,Mismatch with question intent,1.0141602754592896,0.9039672613143921,0.009355015121400356,0.055437687784433365
26,26.0,"[""in the 1960 episode `` Friend of the Family '' of The Texan . He co-starred in the 1963 - 1964 series Arrest and Trial as Detective Sergeant Dan Kirby .   In NBC 's Star Trek episode `` Tomorrow Is Yesterday '' ( 1967 ) he guested as a 20th century airforce pilot . Other television series in which he appeared include Emergency ! , Love , American Style , The Andy Griffith Show , Ironside , The F.B.I. , The Eleventh Hour , The Munsters , Barnaby Jones , The Facts of Life , Adam - 12 and Falcon Crest . ""]",who did roger perry play on star trek,['a 20th century airforce pilot'],"Admiral Savar in the episode ""Tomorrow is Yesterday""",3.0,Open-ended question,0.8094684482,1.319171786,0.009201498,0.07035731524,Captain James T. Kirk,1.0,Incorrect prediction,2.10747504234314,0.831908106803894,0.018095726147294044,0.06127957999706268
27,27.0,"[""curing cancer , bewildering them as to why the Leviathans would be helping humans . Heading to Frank 's trailer with the cursed objects , the brothers find the trailer wrecked on the inside , with blood sprayed everywhere .     143   17   `` The Born - Again Identity ''   Robert Singer   Sera Gamble   March 23 , 2012 ( 2012 - 03 - 23 )   3X7067   1.63     Lucifer has driven Sam to the point of mental breakdown , because of which he is now committed to""]",when is castiel coming back in season 7,"[""`` The Born - Again Identity ''""]","I'm sorry, I cannot answer that question as I am an AI language model and do not have access to real-time information.",1.0,DATV,0.8091121912,1.243405223,0.009494094,0.07244805992,"""The Last Stand""",1.0,Incorrect prediction,1.3772001266479492,0.8389981389045715,0.00986548513174057,0.08375551551580429
28,28.0,"[' Renee Lawless       November 30 , 1960 ( 1960 - 11 - 30 ) ( age 57 ) Knoxville , Tennessee , US     Occupation   Actress     Website   Official website     Renee Lawless - Orsini ( born November 30 , 1960 ) is an American actress and singer . She is currently starring as the bitter and distant matriarch , Katheryn Cryer , in the OWN drama series The Haves and the Have Nots .   Lawless was born in Knoxville , Tennessee ,']",who plays catherine on the haves and the have nots,['Renee Lawless - Orsini'],Tika Sumpter.,1.0,Incorrect prediction,0.8023920655,0.9737730622,0.011644255,0.04589541629,Jennifer Marie Morrison,1.0,Incorrect prediction,1.0967565774917605,0.8006665110588074,0.011083767749369144,0.042738575488328934
29,29.0,"['Video game graphics   Video game music                   This is a list of the best - selling video games of all time . The best - selling video game to date is Tetris , a tile - matching puzzle video game originally released for the Electronika 60 in 1984 and then popularised upon its Game Boy release in 1989 . The game has been ported to a wide range of platforms and sold in excess of 170 million copies , including 100 million']",what is the biggest selling game of all time,['Tetris'],Minecraft,2.0,answer is time-dependent,0.8563853502,1.859125018,0.009638057,0.03973465413,Super Mario Bros.,1.0,Incorrect prediction,1.935760736465454,0.813301146030426,0.008868658915162086,0.036264725029468536
30,30.0,"['home video game consoles and multiple portable consoles for use with external media , as well as dedicated consoles and other hardware for their consoles . As of September 30 , 2015 , Nintendo has sold over 722.22 million hardware units .   Although the company had earlier released Color TV Game and Game & Watch , which were their first and second systems respectfully , they did not achieve worldwide success until the release of the Nintendo Entertainment System ( NES ) in 1983 . The NES restarted the video game industry after the video game crash of 1983 , and']",what was the first nintendo console ever made,['Color TV Game'],The Nintendo Entertainment System (NES) was the first console ever made by Nintendo.,1.0,Incorrect prediction,0.8205973506,1.886858344,0.10040619,0.06639520824,N64,1.0,Incorrect prediction,1.4943691492080688,0.8362998962402344,0.07322106510400772,0.04615325108170509
31,31.0,"[""( s )   Michael O'Rourke ( father ) Kathleen O'Rourke ( mother )     Relatives   Tammy O'Rourke ( older sister ) James A. `` Jim '' Peele ( stepfather ) Charlie Walker ( brother - in - law )     Heather Michele O'Rourke ( December 27 , 1975 -- February 1 , 1988 ) was an American child actress . She was discovered by director Steven Spielberg when she was visiting MGM 's studios . Spielberg cast her as Carol Anne Freeling in the horror film Poltergeist ( 1982 ) , where she""]",the girl who played carol anne in poltergeist,"[""Heather Michele O'Rourke""]",Heather O'Rourke.,3.0,Semantically the same,0.9584349394,4.233665943,0.8117125,0.8596578836,Judith Light,1.0,Incorrect prediction,1.0699234008789062,0.7815735936164856,0.00997216161340475,0.03775743395090103
32,32.0,['having received 79.66 % of the final vote .     Islander   Age   Hometown   Entered   Status   Ref     Dani Dyer   21   East London   Day 1   Winner ( Day 59 )       Jack Fincham   26   Kent   Day 1   Winner ( Day 59 )       Laura Anderson   29   Stirling   Day 1   Runner - up ('],what is the current episode of love island,['Day 59'],"As an AI language model, I don't have access to live or current TV schedules. Please provide me with specific dates or episode numbers for Love Island so I can provide you with accurate information.",1.0,DATV,0.7878019214,0.8239067197,0.04326695,0.07264026999,tenth,2.0,Answer is time-dependent,1.1099928617477417,0.9074030518531799,0.010611827485263348,0.053818196058273315
33,33.0,"[""      Audio sample     `` I Just Died in Your Arms ''   file   help           `` ( I Just ) Died in Your Arms '' is a song by the English rock band Cutting Crew . The song was released as the lead single from their debut studio album , Broadcast ( 1986 ) . It was first released on 25 July 1986 in the United Kingdom , and then released to the United States on 1 January 1987 . The song was written by""]",who sings the song i just died in your arms tonight,['the English rock band Cutting Crew'],"The song ""I Just Died In Your Arms Tonight"" is sung by the band Cutting Crew.",3.0,Semantically the same,0.8753660917,3.715661526,0.3202092,0.9298395514,The Temptations,1.0,Incorrect prediction,1.3482282161712646,0.8131963610649109,0.06597749888896942,0.03547108173370361
34,34.0,"[""Associated acts     Ace in the Hole Band   Tony Brown   Kenny Chesney   Dean Dillon   Alan Jackson   Miranda Lambert   Martina McBride   Lee Ann Womack   Eric Church       George Harvey Strait ( born May 18 , 1952 ) is an American country music singer , songwriter , actor , and music producer . He is known as the `` King of Country '' and is considered one of the most influential and popular recording artists of all time . He is""]",who is the current king of country music,['George Harvey Strait'],"There is no specific king of country music, as it is a subjective title and can vary depending on personal opinion. Some popular country artists currently include Luke Bryan, Blake Shelton, and Keith Urban.",1.0,Mismatch with question intent,0.7811374664,1.128877282,0.19223909,0.07719995826,George Strait,3.0,Semantically the same,3.1576411724090576,0.8999964594841003,0.8222956657409668,0.7277647256851196
35,35.0,"['read for the role during the initial casting process . He began playing the seventeen - year - old gardener when he was twenty - five .   Metcalfe was a regular cast member during the first season . However , after the affair is revealed to Carlos in the first season finale by John himself , Metcalfe left the regular cast . Since his departure , he has made several guest appearances in subsequent seasons .   History ( edit )   Season 1 ( edit )   John Rowland is employed by Gabrielle and Carlos Solis as a']",when does carlos find out about the affair,['the first season finale'],"I'm sorry, I cannot answer this question as there is insufficient context provided.",1.0,DATC,0.8059707284,1.211506248,0.012933354,0.04388453439,The End,1.0,Incorrect prediction,1.5160588026046753,0.8445166349411011,0.41569629311561584,0.06959350407123566
36,36.0,"[""a Japanese - owned American international chain of convenience stores , headquartered in Dallas , Texas . The chain was known as Tote 'm Stores until it was renamed in 1946 . Its parent company , Seven - Eleven Japan Co. , Ltd. , operates , franchises , and licenses 66,579 stores in 17 countries as of 30 June 2018 . Seven - Eleven Japan is headquartered in Chiyoda , Tokyo and held by the Seven & I Holdings Co .   Contents    1 Etymologies   2 History   3 Products and services  ""]",how many 7 elevens are in the world,"['66,579']","There is no exact answer to this question as the number of 7-Eleven stores in the world is constantly changing. However, as of 2021, there are approximately 70,000 7-Eleven stores worldwide.",2.0,answer is time-dependent,0.8031768203,1.318224549,0.3828175,0.03942375258,"over 30,000",1.0,Mismatch with question intent,1.1341744661331177,0.8980652689933777,0.35961276292800903,0.03897183761000633
37,37.0,"['When the cable holding the cage breaks and it plummets to the ocean floor with the two girls trapped inside , they must find a way to escape , with their air supplies running low and great white sharks stalking nearby . It was released in the United States on 16 June 2017 and in the United Kingdom on 26 July 2017 . The film received mixed reviews but was a box office success , grossing over $61 million worldwide against a budget of $5.5 million .   A sequel , titled 48 Meters Down , is scheduled for a release on']",when did the movie 47 meters down come out,['16 June 2017'],in 2017,3.0,Different granularity,0.9126958847,3.669254065,0.54093385,0.4577900171,"June 22, 2017",1.0,Incorrect prediction,3.346947193145752,0.9173698425292969,0.42002254724502563,0.39065325260162354
38,38.0,"[""project in June 2017 after reportedly being fired over `` creative differences '' with Lucasfilm , and Ron Howard took over directing duties , making Solo Howard 's second film for Lucasfilm after Willow ( 1988 ) . The film is scheduled to be released in the United States on May 25 , 2018 . It will be released in RealD 3D and IMAX 3D .     Contents  ( hide )   1 Premise   2 Cast   3 Production   3.1 Development   3.2 Casting   3.3 Filming   3.4 Music ""]",when is the new han solo movie coming out,"['May 25 , 2018']","The new Han Solo movie, Solo: A Star Wars Story, was released on May 25, 2018.",3.0,Semantically the same,0.8165847063,4.173688412,0.3889188,0.988945663,"May 25, 2018",3.0,Exact match,5.102649211883545,0.9609936475753784,0.9467331767082214,0.9899589419364929
